Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance
CRIZOTINIB,CRIZOTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/11626560,FEATURED,877399-52-5,912279-98-2,COMPOUND
CROFELEMER,CROFELEMER,https://pubchem.ncbi.nlm.nih.gov/compound/Crofelemer,FEATURED,148465-45-6,,COMPOUND
CROMOGLICIC_ACID,CROMOGLICIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2882,FEATURED,16110-51-3,,COMPOUND
CROTALUS_HORRIDUS,CROTALUS HORRIDUS,https://pubchem.ncbi.nlm.nih.gov/compound/Crotalus%20horridus%20horridus%20venom,FEATURED,N/A,,COMPOUND
CROTAMITON,CROTAMITON,https://pubchem.ncbi.nlm.nih.gov/compound/688020,FEATURED,"124236-29-9, 483-63-6",,COMPOUND
CRYOFLUORANE,CRYOFLUORANE,https://pubchem.ncbi.nlm.nih.gov/compound/6429,FEATURED,"76-14-2; 1320-37-2(mixedisomers), 76-14-2, 76-14-2, 1320-37-2 (mixed isomers)",,COMPOUND
CRYPTHECODINIUM_COHNII,CRYPTHECODINIUM COHNII,https://pubchem.ncbi.nlm.nih.gov/compound/Crypthecodinium%20cohnii,FEATURED,N/A,,COMPOUND
CRYPTOXANTHIN,CRYPTOXANTHIN,https://pubchem.ncbi.nlm.nih.gov/compound/5281235,FEATURED,472-70-8,,COMPOUND
CRYSTAL_VIOLET,CRYSTAL VIOLET,https://pubchem.ncbi.nlm.nih.gov/compound/11057,FEATURED,548-62-9,"23355-47-7, 7077-31-8, 7077-31-8",COMPOUND
CUCUMIS_SATIVUS,CUCUMIS SATIVUS,https://pubchem.ncbi.nlm.nih.gov/compound/24721411,RELEVANT,N/A,,COMPOUND
CUCURBITA_PEPO,CUCURBITA PEPO,https://pubchem.ncbi.nlm.nih.gov/substance/482036388,RELEVANT,N/A,,SUBSTANCE
CUPRESSUS_SEMPERVIRENS,CUPRESSUS SEMPERVIRENS,https://pubchem.ncbi.nlm.nih.gov/compound/Cupressus%20sempervirens%20whole,FEATURED,N/A,,COMPOUND
CURCUMA_LONGA,CURCUMA LONGA,https://pubchem.ncbi.nlm.nih.gov/compound/969516,RELEVANT,"458-37-7, 8024-37-1","15845-47-3, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 2103286-06-0, 15845-47-3, 2103286-06-0, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 73729-23-4, 33171-04-9, 91884-86-5, 15845-47-3, 79257-48-0",COMPOUND
CURCUMIN,CURCUMIN,https://pubchem.ncbi.nlm.nih.gov/compound/969516,FEATURED,"458-37-7, 8024-37-1","15845-47-3, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 2103286-06-0, 15845-47-3, 2103286-06-0, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 73729-23-4, 33171-04-9, 91884-86-5, 15845-47-3, 79257-48-0",COMPOUND
CYANOCOBALAMIN,CYANOCOBALAMIN,https://pubchem.ncbi.nlm.nih.gov/compound/5311498,FEATURED,"68-19-9, 13408-78-1","11037-08-4, 24436-34-8, 8023-26-5, 8039-03-0",COMPOUND
CYCLANDELATE,CYCLANDELATE,https://pubchem.ncbi.nlm.nih.gov/compound/2893,FEATURED,456-59-7,"28283-32-1, 54110-27-9, 28283-32-1",COMPOUND
CYCLIZINE,CYCLIZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6726,FEATURED,82-92-8,,COMPOUND
CYCLOBENZAPRINE,CYCLOBENZAPRINE,https://pubchem.ncbi.nlm.nih.gov/compound/2895,FEATURED,303-53-7,,COMPOUND
CYCLOMETHICONE,CYCLOMETHICONE,https://pubchem.ncbi.nlm.nih.gov/compound/Cyclomethicone,FEATURED,69430-24-6,,COMPOUND
CYCLOPENTASILOXANE,CYCLOPENTASILOXANE,https://pubchem.ncbi.nlm.nih.gov/compound/10913,FEATURED,541-02-6,,COMPOUND
CYCLOPENTOLATE,CYCLOPENTOLATE,https://pubchem.ncbi.nlm.nih.gov/compound/2905,FEATURED,512-15-2,,COMPOUND
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2907,FEATURED,"50-18-0, 6055-19-2","60007-95-6, 75526-90-8, 60007-95-6",COMPOUND
CYCLOSERINE,CYCLOSERINE,https://pubchem.ncbi.nlm.nih.gov/compound/6234,FEATURED,68-41-7,,COMPOUND
CYNARA_SCOLYMUS,CYNARA SCOLYMUS,https://pubchem.ncbi.nlm.nih.gov/substance/483934221,RELEVANT,N/A,,SUBSTANCE
CYPROHEPTADINE,CYPROHEPTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2913,FEATURED,129-03-3,,COMPOUND
CYSTEINE,CYSTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/5862,FEATURED,"52-90-4, 3374-22-9","4371-52-2, 154605-72-8, 1404190-35-7, 1404190-35-7, 154605-72-8, 4371-52-2, 4371-52-2, 154605-72-8",COMPOUND
CYSTINE,CYSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/67678,FEATURED,"56-89-3, 923-32-0","24645-67-8, 154605-69-3, 154605-69-3, 24645-67-8, 24645-67-8",COMPOUND
CYSTOSEIRA_CANARIENSIS,CYSTOSEIRA CANARIENSIS,https://pubmed.ncbi.nlm.nih.gov/14570155,RELEVANT,N/A,,N/A
CYTARABINE,CYTARABINE,https://pubchem.ncbi.nlm.nih.gov/compound/6253,FEATURED,147-94-4,,COMPOUND
D-LACTIC_ACID,D-LACTIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/61503,FEATURED,10326-41-7,,COMPOUND
DABIGATRAN_ETEXILATE,DABIGATRAN ETEXILATE,https://pubchem.ncbi.nlm.nih.gov/compound/135565674,FEATURED,211915-06-9,,COMPOUND
DABRAFENIB,DABRAFENIB,https://pubchem.ncbi.nlm.nih.gov/compound/44462760,FEATURED,1195765-45-7,,COMPOUND
DACARBAZINE,DACARBAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/135398738,FEATURED,4342-03-4,37626-23-6,COMPOUND
DACLATASVIR,DACLATASVIR,https://pubchem.ncbi.nlm.nih.gov/compound/25154714,FEATURED,1009119-64-5,,COMPOUND
DACLIZUMAB,DACLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Daclizumab,FEATURED,152923-56-3,,COMPOUND
DACOMITINIB,DACOMITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/11511120,FEATURED,1110813-31-4,1006885-28-4,COMPOUND
DACTINOMYCIN,DACTINOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/457193,FEATURED,50-76-0,"1421227-25-9, 1402-58-0",COMPOUND
DACTYLIS_GLOMERATA,DACTYLIS GLOMERATA,https://pubchem.ncbi.nlm.nih.gov/compound/Dactylis%20glomerata%20pollen,FEATURED,94349-98-1,,COMPOUND
DACTYLOPIUS_COCCUS,DACTYLOPIUS COCCUS,https://pubchem.ncbi.nlm.nih.gov/substance/482037044,RELEVANT,N/A,,SUBSTANCE
DALBAVANCIN,DALBAVANCIN,https://pubchem.ncbi.nlm.nih.gov/compound/16134627,FEATURED,171500-79-1,247175-55-9,COMPOUND
DALFOPRISTIN,DALFOPRISTIN,https://pubchem.ncbi.nlm.nih.gov/compound/6323289,FEATURED,112362-50-2,,COMPOUND
DALTEPARIN_SODIUM,DALTEPARIN SODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/Dalteparin%20Sodium,FEATURED,9041-08-1,"101921-26-0, 102785-31-9, 12656-11-0, 913079-23-9",COMPOUND
DAMOCTOCOG_ALFA_PEGOL,DAMOCTOCOG ALFA PEGOL,https://pubchem.ncbi.nlm.nih.gov/compound/Damoctocog%20Alfa%20Pegol,FEATURED,1363853-26-2,,COMPOUND
DANAPAROID,DANAPAROID,https://pubchem.ncbi.nlm.nih.gov/substance/7979021,RELEVANT,N/A,,SUBSTANCE
DANAZOL,DANAZOL,https://pubchem.ncbi.nlm.nih.gov/compound/28417,FEATURED,17230-88-5,,COMPOUND
DANTROLENE,DANTROLENE,https://pubchem.ncbi.nlm.nih.gov/compound/6914273,FEATURED,"7261-97-4, 833480-90-3",833480-90-3,COMPOUND
DANTRON,DANTRON,https://pubchem.ncbi.nlm.nih.gov/compound/2950,FEATURED,117-10-2,"32073-07-7, 343235-40-5",COMPOUND
DAPAGLIFLOZIN,DAPAGLIFLOZIN,https://pubchem.ncbi.nlm.nih.gov/compound/9887712,FEATURED,461432-26-8,,COMPOUND
DAPIPRAZOLE,DAPIPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3033538,FEATURED,72822-12-9,,COMPOUND
DAPSONE,DAPSONE,https://pubchem.ncbi.nlm.nih.gov/compound/2955,FEATURED,80-08-0,1246638-15-2,COMPOUND
DAPTOMYCIN,DAPTOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/21585658,FEATURED,103060-53-3,,COMPOUND
DARATUMUMAB,DARATUMUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Daratumumab,FEATURED,945721-28-8,,COMPOUND
DARBEPOETIN_ALFA,DARBEPOETIN ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Darbepoetin%20Alfa,FEATURED,209810-58-2,,COMPOUND
DARIFENACIN,DARIFENACIN,https://pubchem.ncbi.nlm.nih.gov/compound/444031,FEATURED,133099-04-4,,COMPOUND
DARUNAVIR,DARUNAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/213039,FEATURED,206361-99-1,"618109-00-5, 1097732-88-1",COMPOUND
DASABUVIR,DASABUVIR,https://pubchem.ncbi.nlm.nih.gov/compound/56640146,FEATURED,1132935-63-7,1221573-79-0,COMPOUND
DASATINIB,DASATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/3062316,FEATURED,"302962-49-8, 863127-77-9",,COMPOUND
DAUCUS_CAROTA,DAUCUS CAROTA,https://pubchem.ncbi.nlm.nih.gov/substance/482038571,RELEVANT,N/A,,SUBSTANCE
DAUNORUBICIN,DAUNORUBICIN,https://pubchem.ncbi.nlm.nih.gov/compound/30323,FEATURED,20830-81-3,"1407-15-4, 23942-76-9, 149541-57-1, 11006-54-5, 11048-29-6, 28020-80-6, 27576-81-4, 182250-71-1, 23942-76-9, 28020-80-6, 11006-54-5, 11048-29-6, 149541-57-1, 1407-15-4",COMPOUND
DEANOL,DEANOL,https://pubchem.ncbi.nlm.nih.gov/compound/7902,FEATURED,108-01-0,"116134-09-9, 156681-25-3, 1404326-81-3, 116134-09-9, 1404326-81-3, 156681-25-3, 116134-09-9",COMPOUND
DECANOIC_ACID,DECANOIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2969,FEATURED,334-48-5,,COMPOUND
DECITABINE,DECITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/451668,FEATURED,2353-33-5,"123795-43-7, 105597-46-4",COMPOUND
DECONGESTANT_RUBS,DECONGESTANT RUBS,N/A,Not Found,N/A,N/A,N/A
DEFERASIROX,DEFERASIROX,https://pubchem.ncbi.nlm.nih.gov/compound/214348,FEATURED,201530-41-8,,COMPOUND
DEFERIPRONE,DEFERIPRONE,https://pubchem.ncbi.nlm.nih.gov/compound/2972,FEATURED,30652-11-0,,COMPOUND
DEFEROXAMINE,DEFEROXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2973,FEATURED,70-51-9,7278-84-4,COMPOUND
DEFIBROTIDE,DEFIBROTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/135565962,FEATURED,"83712-60-1, 1118915-78-8",,COMPOUND
DEFLAZACORT,DEFLAZACORT,https://pubchem.ncbi.nlm.nih.gov/compound/189821,FEATURED,14484-47-0,74712-90-6,COMPOUND
DEGARELIX,DEGARELIX,https://pubchem.ncbi.nlm.nih.gov/compound/16136245,FEATURED,214766-78-6,,COMPOUND
DELAFLOXACIN,DELAFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/487101,FEATURED,189279-58-1,579508-20-6,COMPOUND
DELAVIRDINE,DELAVIRDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5625,FEATURED,136817-59-9,,COMPOUND
DEMECARIUM,DEMECARIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5966,FEATURED,"16505-84-3, 56-94-0",,COMPOUND
DEMECLOCYCLINE,DEMECLOCYCLINE,https://pubchem.ncbi.nlm.nih.gov/compound/Demeclocycline,FEATURED,"64-73-3, 127-33-3","8059-70-9, 16204-02-7",COMPOUND
DENILEUKIN_DIFTITOX,DENILEUKIN DIFTITOX,https://pubchem.ncbi.nlm.nih.gov/compound/Denileukin%20Diftitox,FEATURED,"173146-27-5, 1393970-37-0",,COMPOUND
DENOSUMAB,DENOSUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Denosumab,FEATURED,615258-40-7,847987-83-1,COMPOUND
DENTAL_FLOSS,DENTAL FLOSS,https://pubchem.ncbi.nlm.nih.gov/compound/24266,RELEVANT,"7631-97-2, 10163-15-2",,COMPOUND
DENTURE_POWDER,DENTURE POWDER,https://pubmed.ncbi.nlm.nih.gov/30975019,RELEVANT,N/A,,N/A
DEOXYCHOLIC_ACID,DEOXYCHOLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/222528,FEATURED,83-44-3,728917-93-9,COMPOUND
DEOXYRIBONUCLEASE-_NATURAL,DEOXYRIBONUCLEASE- NATURAL,https://pubchem.ncbi.nlm.nih.gov/bioassay/287936,RELEVANT,N/A,,N/A
DERMAGRAFT-TC,DERMAGRAFT-TC,https://pubmed.ncbi.nlm.nih.gov/9063788,RELEVANT,N/A,,N/A
DERMATOPHAGOIDES_FARINAE,DERMATOPHAGOIDES FARINAE,https://pubchem.ncbi.nlm.nih.gov/compound/Dermatophagoides%20farinae,FEATURED,N/A,,COMPOUND
DERMATOPHAGOIDES_PTERONYSSINUS,DERMATOPHAGOIDES PTERONYSSINUS,https://pubchem.ncbi.nlm.nih.gov/compound/Dermatophagoides%20pteronyssinus,FEATURED,N/A,,COMPOUND
DESERPIDINE,DESERPIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/8550,FEATURED,131-01-1,,COMPOUND
DESFLURANE,DESFLURANE,https://pubchem.ncbi.nlm.nih.gov/compound/42113,FEATURED,57041-67-5,,COMPOUND
DESIPRAMINE,DESIPRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2995,FEATURED,50-47-5,,COMPOUND
DESIRUDIN,DESIRUDIN,https://pubchem.ncbi.nlm.nih.gov/compound/16129703,FEATURED,120993-53-5,,COMPOUND
DESLORATADINE,DESLORATADINE,https://pubchem.ncbi.nlm.nih.gov/compound/124087,FEATURED,100643-71-8,,COMPOUND
DESMOPRESSIN,DESMOPRESSIN,https://pubchem.ncbi.nlm.nih.gov/compound/5311065,FEATURED,16679-58-6,,COMPOUND
DESOGESTREL,DESOGESTREL,https://pubchem.ncbi.nlm.nih.gov/compound/40973,FEATURED,54024-22-5,,COMPOUND
DESONIDE,DESONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5311066,FEATURED,638-94-8,,COMPOUND
DESOXIMETASONE,DESOXIMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311067,FEATURED,"140218-14-0, 382-67-2",,COMPOUND
DESVENLAFAXINE,DESVENLAFAXINE,https://pubchem.ncbi.nlm.nih.gov/compound/125017,FEATURED,93413-62-8,,COMPOUND
DEUTETRABENAZINE,DEUTETRABENAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/73437646,FEATURED,1392826-25-3,,COMPOUND
DEXAMETHASONE,DEXAMETHASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5743,FEATURED,"50-02-2, 23495-06-9","137098-19-2, 8054-59-9, 906422-84-2, 1050677-47-8, 906362-70-7, 1050677-47-8, 137098-19-2, 8054-59-9, 906362-70-7, 906422-84-2, 8054-59-9, 137098-19-2, 1050677-47-8, 906422-84-2",COMPOUND
DEXAMFETAMINE,DEXAMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/5826,FEATURED,51-64-9,,COMPOUND
DEXBROMPHENIRAMINE,DEXBROMPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/16960,FEATURED,132-21-8,,COMPOUND
DEXCHLORPHENIRAMINE,DEXCHLORPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/33036,FEATURED,25523-97-1,"301-24-6, 12167-38-3",COMPOUND
DEXLANSOPRAZOLE,DEXLANSOPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/9578005,FEATURED,138530-94-6,,COMPOUND
DEXMEDETOMIDINE,DEXMEDETOMIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5311068,FEATURED,113775-47-6,,COMPOUND
DEXMETHYLPHENIDATE,DEXMETHYLPHENIDATE,https://pubchem.ncbi.nlm.nih.gov/compound/154101,FEATURED,40431-64-9,,COMPOUND
DEXPANTHENOL,DEXPANTHENOL,https://pubchem.ncbi.nlm.nih.gov/compound/131204,FEATURED,81-13-0,"1113-70-8, 17307-32-3, 50584-68-4, 17307-32-3",COMPOUND
DEXRAZOXANE,DEXRAZOXANE,https://pubchem.ncbi.nlm.nih.gov/compound/71384,FEATURED,24584-09-6,,COMPOUND
DEXTRAN,DEXTRAN,https://pubchem.ncbi.nlm.nih.gov/compound/4125253,FEATURED,9004-54-0,"11104-36-2, 11121-03-2, 12626-85-6, 128635-03-0, 1307300-43-1, 1415795-13-9, 37224-17-2, 60454-72-0, 86280-85-5, 9013-80-3, 9044-66-0, 911319-01-2",COMPOUND
DEXTRANOMER,DEXTRANOMER,https://pubchem.ncbi.nlm.nih.gov/compound/Dextranomer,FEATURED,56087-11-7,,COMPOUND
DEXTRIN,DEXTRIN,https://pubchem.ncbi.nlm.nih.gov/compound/62698,FEATURED,9004-53-9,"100041-56-3, 129290-56-8, 133925-38-9, 152232-07-0, 185829-47-4, 199015-70-8, 2186634-06-8, 256933-14-9, 2983451-46-1, 37265-05-7, 37265-06-8, 650604-25-4, 74347-35-6, 753470-74-5, 9072-45-1",COMPOUND
DEXTROMETHORPHAN,DEXTROMETHORPHAN,https://pubchem.ncbi.nlm.nih.gov/compound/5360696,FEATURED,125-71-3,"18046-32-7, 32062-10-5, 1469752-79-1, 32062-10-5",COMPOUND
DEXTROPROPOXYPHENE,DEXTROPROPOXYPHENE,https://pubchem.ncbi.nlm.nih.gov/compound/10100,FEATURED,"469-62-5, 2621-61-6","21086-94-2, 3818-94-8, 3818-94-8",COMPOUND
DEXTROTHYROXINE,DEXTROTHYROXINE,https://pubchem.ncbi.nlm.nih.gov/compound/8730,FEATURED,"51-49-0, 137-53-1",,COMPOUND
DIAGNOSTIC_COLON_IMAGING_AGENT,DIAGNOSTIC COLON IMAGING AGENT,https://pubchem.ncbi.nlm.nih.gov/bioassay/738689,RELEVANT,N/A,,N/A
DIASTASE,DIASTASE,https://pubchem.ncbi.nlm.nih.gov/substance/49869225,RELEVANT,N/A,,SUBSTANCE
DIATRIZOIC_ACID,DIATRIZOIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2140,FEATURED,"117-96-4, 50978-11-5",,COMPOUND
DIAZEPAM,DIAZEPAM,https://pubchem.ncbi.nlm.nih.gov/compound/3016,FEATURED,439-14-5,"11100-37-1, 53320-84-6",COMPOUND
DIAZOLIDINYL_UREA,DIAZOLIDINYL UREA,https://pubchem.ncbi.nlm.nih.gov/compound/62277,FEATURED,78491-02-8,,COMPOUND
DIAZOXIDE,DIAZOXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3019,FEATURED,364-98-7,1342899-70-0,COMPOUND
DICHLORALPHENAZONE,DICHLORALPHENAZONE,https://pubchem.ncbi.nlm.nih.gov/compound/10188,FEATURED,480-30-8,,COMPOUND
DICHLOROACETIC_ACID,DICHLOROACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/6597,FEATURED,79-43-6,42428-47-7,COMPOUND
DICHLORODIFLUORO-METHANE,DICHLORODIFLUORO-METHANE,https://pubchem.ncbi.nlm.nih.gov/compound/6391,FEATURED,75-71-8,"185009-39-6, 62185-71-1, 1256919-17-1, 1256919-17-1, 185009-39-6, 62185-71-1",COMPOUND
DICLOFENAC,DICLOFENAC,https://pubchem.ncbi.nlm.nih.gov/compound/3033,FEATURED,15307-86-5,,COMPOUND
DICLOFENAMIDE,DICLOFENAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3038,FEATURED,120-97-8,,COMPOUND
DICLOXACILLIN,DICLOXACILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/18381,FEATURED,3116-76-5,,COMPOUND
DICOUMAROL,DICOUMAROL,https://pubchem.ncbi.nlm.nih.gov/compound/54676038,FEATURED,66-76-2,,COMPOUND
DICYCLOVERINE,DICYCLOVERINE,https://pubchem.ncbi.nlm.nih.gov/compound/3042,FEATURED,"77-19-0, 67-92-5","104959-55-9, 856995-49-8, 104959-55-9",COMPOUND
DIDANOSINE,DIDANOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/135398739,FEATURED,69655-05-6,,COMPOUND
DIENESTROL,DIENESTROL,https://pubchem.ncbi.nlm.nih.gov/compound/667476,FEATURED,"13029-44-2, 84-17-3",22090-87-5,COMPOUND
DIENOGEST,DIENOGEST,https://pubchem.ncbi.nlm.nih.gov/compound/68861,FEATURED,65928-58-7,,COMPOUND
DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,https://pubchem.ncbi.nlm.nih.gov/compound/448537,FEATURED,"56-53-1, 22610-99-7, 6898-97-1","8026-45-7, 8028-09-9, 8030-34-0, 8049-42-1, 8053-00-7, 8049-42-1, 8053-00-7, 8028-09-9, 8030-34-0, 8026-45-7",COMPOUND
DIETHYLTOLUAMIDE,DIETHYLTOLUAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4284,FEATURED,134-62-3,94271-03-1,COMPOUND
DIFENOXIN,DIFENOXIN,https://pubchem.ncbi.nlm.nih.gov/compound/34328,FEATURED,28782-42-5,,COMPOUND
DIFLORASONE,DIFLORASONE,https://pubchem.ncbi.nlm.nih.gov/compound/71415,FEATURED,2557-49-5,,COMPOUND
DIFLUNISAL,DIFLUNISAL,https://pubchem.ncbi.nlm.nih.gov/compound/3059,FEATURED,22494-42-4,,COMPOUND
DIFLUPREDNATE,DIFLUPREDNATE,https://pubchem.ncbi.nlm.nih.gov/compound/443936,FEATURED,23674-86-4,,COMPOUND
DIGITOXIN,DIGITOXIN,https://pubchem.ncbi.nlm.nih.gov/compound/441207,FEATURED,71-63-6,"1339-93-1, 1367-39-1, 1391-34-0, 82476-56-0, 82476-56-0, 1391-34-0, 1367-39-1, 1339-93-1",COMPOUND
DIGOXIN,DIGOXIN,https://pubchem.ncbi.nlm.nih.gov/compound/2724385,FEATURED,20830-75-5,"11000-95-6, 36-35-1, 39366-41-1, 8001-36-3, 8001-37-4, 8001-52-3, 82476-60-6, 8001-52-3, 36-35-1, 8001-36-3, 8001-37-4, 39366-41-1, 82476-60-6",COMPOUND
DIGOXIN_SPECIFIC_ANTIBODY_FRAGMENTS,DIGOXIN SPECIFIC ANTIBODY FRAGMENTS,https://pubchem.ncbi.nlm.nih.gov/substance/482026297,RELEVANT,N/A,,SUBSTANCE
DIHYDROCODEINE,DIHYDROCODEINE,https://pubchem.ncbi.nlm.nih.gov/compound/5284543,FEATURED,125-28-0,,COMPOUND
DIHYDROERGOTAMINE,DIHYDROERGOTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/10531,FEATURED,"511-12-6, 6190-39-2","409-63-2, 1381-00-6, 5965-22-0, 6016-53-1, 7762-45-0, 11019-70-8, 17680-45-4, 26913-96-2, 29087-32-9, 47842-41-1, 98302-70-6",COMPOUND
DIHYDROERGOTOXINE,DIHYDROERGOTOXINE,https://pubchem.ncbi.nlm.nih.gov/compound/6420006,FEATURED,"11032-41-0, 6190-39-2",,COMPOUND
DIHYDROTACHYSTEROL,DIHYDROTACHYSTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/5311071,FEATURED,67-96-9,"911-10-4, 1369-89-7",COMPOUND
DIHYDROXYACETONE,DIHYDROXYACETONE,https://pubchem.ncbi.nlm.nih.gov/compound/670,FEATURED,96-26-4,,COMPOUND
DIHYDROXYALUMINIUM,DIHYDROXYALUMINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/16682987,RELEVANT,7047-84-9,3343-54-2,COMPOUND
DIIODOHYDROXYQUINOLINE,DIIODOHYDROXYQUINOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/3728,FEATURED,83-73-8,,COMPOUND
DILTIAZEM,DILTIAZEM,https://pubchem.ncbi.nlm.nih.gov/compound/39186,FEATURED,"56209-45-1, 42399-41-7",,COMPOUND
DIMENHYDRINATE,DIMENHYDRINATE,https://pubchem.ncbi.nlm.nih.gov/compound/10660,FEATURED,523-87-5,133294-22-1,COMPOUND
DIMETHYLGLYCINE,DIMETHYLGLYCINE,https://pubchem.ncbi.nlm.nih.gov/compound/673,FEATURED,1118-68-9,780741-89-1,COMPOUND
DIMETHYL_FUMARATE,DIMETHYL FUMARATE,https://pubchem.ncbi.nlm.nih.gov/compound/637568,FEATURED,"624-49-7, 23055-10-9",1017900-75-2,COMPOUND
DIMETHYL_SULFONE,DIMETHYL SULFONE,https://pubchem.ncbi.nlm.nih.gov/compound/6213,FEATURED,67-71-0,"54841-73-5, 1800084-98-3, 1800084-98-3, 54841-73-5",COMPOUND
DIMETHYL_SULFOXIDE,DIMETHYL SULFOXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/679,FEATURED,67-68-5,"164071-41-4, 8070-53-9, 705301-21-9, 1173018-42-2, 1173018-42-2, 164071-41-4, 705301-21-9, 8070-53-9, 164071-41-4, 8070-53-9",COMPOUND
DIMETICONE,DIMETICONE,https://pubchem.ncbi.nlm.nih.gov/compound/24705,FEATURED,"107-51-7, 63148-62-9",1463470-58-7,COMPOUND
DINOPROSTONE,DINOPROSTONE,https://pubchem.ncbi.nlm.nih.gov/compound/5280360,FEATURED,"363-24-6, 22230-04-2",,COMPOUND
DINUTUXIMAB,DINUTUXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Dinutuximab,FEATURED,"1363687-32-4, 1613303-02-8","339184-14-4, 1613303-02-8",COMPOUND
DIOSCOREA_VILLOSA,DIOSCOREA VILLOSA,https://pubchem.ncbi.nlm.nih.gov/substance/483931113,RELEVANT,N/A,,SUBSTANCE
DIOSMIN,DIOSMIN,https://pubchem.ncbi.nlm.nih.gov/compound/5281613,FEATURED,520-27-4,"9000-18-4, 28680-33-3",COMPOUND
DIOXYBENZONE,DIOXYBENZONE,https://pubchem.ncbi.nlm.nih.gov/compound/8569,FEATURED,131-53-3,186100-79-8,COMPOUND
DIPHENHYDRAMINE,DIPHENHYDRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3100,FEATURED,"58-73-1, 147-24-0",2226543-89-9,COMPOUND
DIPHENOXYLATE,DIPHENOXYLATE,https://pubchem.ncbi.nlm.nih.gov/compound/13505,FEATURED,915-30-0,,COMPOUND
DIPHENYLPYRALINE,DIPHENYLPYRALINE,https://pubchem.ncbi.nlm.nih.gov/compound/3103,FEATURED,147-20-6,,COMPOUND
DIPIVEFRINE,DIPIVEFRINE,https://pubchem.ncbi.nlm.nih.gov/compound/3105,FEATURED,52365-63-6,,COMPOUND
DIPROPHYLLINE,DIPROPHYLLINE,https://pubchem.ncbi.nlm.nih.gov/compound/3182,FEATURED,479-18-5,"52756-53-3, 68350-70-9, 68350-70-9",COMPOUND
