Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS
ETHOSUXIMIDE,LAVANDULA ANGUSTIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/483924531,56030-54-7,N/A
ETHOTOIN,LECITHIN,https://pubchem.ncbi.nlm.nih.gov/compound/5287971,343306-71-8,N/A
ETHYL-EICOSAPENT,LEDIPASVIR,https://pubchem.ncbi.nlm.nih.gov/compound/67505836,551-16-6,1782955-12-7
ETHYLENE_GLYCOL,LEFLUNOMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3899,61318-91-0,N/A
ETIDOCAINE,LENALIDOMIDE,N/A,55-21-0,27208-38-4
ETIDRONIC_ACID,LENTINULA EDODES,https://pubchem.ncbi.nlm.nih.gov/substance/482021156,63-74-1,"102489-34-9, 12765-80-9, 1337-36-6, 1337-39-9, 24706-25-0, 12765-80-9, 102489-34-9, 1337-36-6, 1337-39-9, 24706-25-0"
ETODOLAC,LENVATINIB,N/A,63-74-1,"102489-34-9, 12765-80-9, 1337-36-6, 1337-39-9, 24706-25-0, 12765-80-9, 102489-34-9, 1337-36-6, 1337-39-9, 24706-25-0"
ETOMIDATE,LEPIDIUM MEYENII,https://pubchem.ncbi.nlm.nih.gov/compound/220495,2447-57-6,N/A
ETONOGESTREL,LEPIRUDIN,N/A,127-69-5,207522-06-3
ETOPOSIDE,LEPTOGORGIA VIRGULATA,https://pubchem.ncbi.nlm.nih.gov/taxonomy/37508,144-82-1,N/A
ETOPOSIDE_PHOSPHATE,LESINURAD,https://pubchem.ncbi.nlm.nih.gov/compound/53465279,63-74-1,"102489-34-9, 12765-80-9, 1337-36-6, 1337-39-9, 24706-25-0, 12765-80-9, 102489-34-9, 1337-36-6, 1337-39-9, 24706-25-0"
ETRAVIRINE,LETERMOVIR,https://pubchem.ncbi.nlm.nih.gov/compound/45138674,63-74-1,"102489-34-9, 12765-80-9, 1337-36-6, 1337-39-9, 24706-25-0, 12765-80-9, 102489-34-9, 1337-36-6, 1337-39-9, 24706-25-0"
ETYNODIOL,LETROZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3902,144-83-2,N/A
EUCALYPTUS_GLOBULUS,LEUCINE,https://pubchem.ncbi.nlm.nih.gov/compound/6106,69-72-7,"7681-06-3, 8052-31-1, 1186130-36-8, 1186130-36-8, 7681-06-3, 8052-31-1, 8052-31-1, 1186130-36-8"
EUGENOL,LEUPRORELIN,https://pubchem.ncbi.nlm.nih.gov/compound/657181,72-14-0,"158269-46-6, 6052-33-1, 859037-27-7, 158269-46-6, 6052-33-1"
EUPATORIUM_PERFOLIATUM,LEVACETYLMETHADOL,https://pubchem.ncbi.nlm.nih.gov/compound/15130,57-96-5,N/A
EUPATORIUM_TRIPLINERVE,LEVAMISOLE,https://pubchem.ncbi.nlm.nih.gov/compound/26879,7134-11-4,N/A
EUPHAUSIA_SUPERBA,LEVETIRACETAM,https://pubchem.ncbi.nlm.nih.gov/compound/5284583,137-26-8,"12680-07-8, 12680-62-5, 39456-80-9, 56645-31-9, 66173-72-6, 93196-73-7, 1135443-08-1, 200889-05-0, 92481-09-9, 2213445-87-3, 1135443-08-1, 12680-07-8, 12680-62-5, 200889-05-0, 2213445-87-3, 39456-80-9, 56645-31-9, 66173-72-6, 793709-88-3, 92481-09-9, 93196-73-7, 66173-72-6, 93196-73-7, 200889-05-0, 39456-80-9, 12680-62-5, 12680-07-8, 92481-09-9, 1135443-08-1"
EUPHORBIA_CERIFERA,LEVMETAMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/36604,151-21-3,"111726-87-5, 121481-64-9, 12738-53-3, 12765-21-8, 129203-37-8, 1334-67-4, 1335-72-4, 152155-52-7, 51222-39-0, 57176-54-2, 58640-35-0, 61711-39-5, 64441-33-4, 74433-77-5, 8012-56-4, 145269-44-9, 156108-01-9, 172826-72-1, 191490-40-1, 237743-45-2, 303179-49-9, 8048-56-4, 952092-90-9, 1000201-72-8, 1000201-73-9, 210297-21-5, 39384-36-6, 877454-24-5, 952055-37-7, 1883428-81-6, 2326507-32-6, 1000201-72-8, 1000201-73-9, 111726-87-5, 121481-64-9, 12738-53-3, 12765-21-8, 129203-37-8, 1334-67-4, 1335-72-4, 1357615-49-6, 145269-44-9, 152155-52-7, 156108-01-9, 172826-72-1, 1883428-81-6, 191490-40-1, 210297-21-5, 2326507-32-6, 237743-45-2, 303179-49-9, 39384-36-6, 51222-39-0, 57176-54-2, 58640-35-0, 61711-39-5, 64441-33-4, 74433-77-5, 8012-56-4, 8048-56-4, 877454-24-5, 952055-37-7, 952092-90-9, 64441-33-4, 237743-45-2, 1000201-73-9, 1000201-72-8, 210297-21-5, 145269-44-9, 1883428-81-6, 952055-37-7, 61711-39-5, 12765-21-8, 74433-77-5, 8048-56-4, 57176-54-2, 8012-56-4, 1334-67-4, 191490-40-1, 51222-39-0, 129203-37-8, 152155-52-7, 172826-72-1, 952092-90-9, 877454-24-5, 1335-72-4, 12738-53-3, 39384-36-6, 58640-35-0, 121481-64-9, 156108-01-9, 303179-49-9"
EUPHRASIA_OFFICINALIS,LEVOBUNOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/39468,2551-62-4,"29267-82-1, 36575-03-8, 59109-69-2, 29267-82-1, 36575-03-8"
EUSPONGIA_OFFICINALIS,LEVOBUPIVACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/92253,38194-50-2,49627-22-7
EUTERPE_OLERACEA,LEVOCABASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/54385,129-17-9,"66554-69-6, 81604-53-7, 220750-19-6, 856315-34-9, 64366-33-2, 220750-19-6, 64366-33-2, 66554-69-6, 81604-53-7, 856315-34-9, 81604-53-7, 856315-34-9, 220750-19-6"
EVENING_PRIMROSE_OIL,LEVOCARNITINE,https://pubchem.ncbi.nlm.nih.gov/compound/10917,N/A,N/A
EVEROLIMUS,LEVOCETIRIZINE,https://pubchem.ncbi.nlm.nih.gov/compound/1549000,103628-46-2,N/A
EVODIA,LEVODOPA,https://pubchem.ncbi.nlm.nih.gov/compound/6057,557795-19-4,326914-13-0
EVOLOCUMAB,LEVOFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/149096,N/A,N/A
EXEMESTANE,LEVOMEFOLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/135398561,N/A,N/A
EXENATIDE,LEVOMENOL,N/A,40828-46-4,N/A
EYE_BATHS,LEVOMENTHOL,https://pubchem.ncbi.nlm.nih.gov/compound/16666,N/A,N/A
EYE_CREAM,LEVOMILNACIPRAN,https://pubchem.ncbi.nlm.nih.gov/compound/6917779,1030377-33-3,N/A
EYE_MAKE-UP_REMOVERS,LEVONORGESTREL,https://pubchem.ncbi.nlm.nih.gov/compound/13109,306-40-1,N/A
EZETIMIBE,LEVORPHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/5359272,N/A,N/A
FACIAL_CLEANSER,LEVOSALBUTAMOL,https://pubchem.ncbi.nlm.nih.gov/compound/2083,1332-37-2,"8075-66-9, 1198473-26-5, 1701487-83-3, 1820799-17-4, 2038179-84-7, 2114385-10-1, 2242797-76-6"
FACIAL_CREAM/LOTION,LEVOTHYROXINE SODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5819,2016-63-9,N/A
FACTOR_IX,LIDOCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/3676,N/A,N/A
FACTOR_VII,LIFITEGRAST,https://pubchem.ncbi.nlm.nih.gov/compound/11965427,321-64-2,N/A
FACTOR_VIII,LIMONENE,https://pubchem.ncbi.nlm.nih.gov/compound/440917,104987-11-3,N/A
FACTOR_VIII_INHIBITOR_BYPASSING_FRACTION,LINACLOTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16158208,171596-29-5,N/A
FACTOR_VON_WILLEBRAND,LINAGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/10096344,106635-80-7,N/A
FACTOR_X,LINALOOL,https://pubchem.ncbi.nlm.nih.gov/compound/6549,209860-87-7,N/A
FACTOR_XIII,LINCOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/3000540,N/A,N/A
FALLOPIA_JAPONICA,LINDANE,https://pubchem.ncbi.nlm.nih.gov/compound/727,1207456-01-6,N/A
FALLOPIA_MULTIFLORA,LINEZOLID,https://pubchem.ncbi.nlm.nih.gov/compound/441401,14807-96-6,"110540-41-5, 11119-41-8, 1170673-66-1, 12420-12-1, 1308319-75-6, 1385633-70-4, 184973-42-0, 2403462-24-6, 2640599-87-5, 37232-12-5, 8043-56-9, 99638-63-8"
FAMCICLOVIR,LINOLEIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/5280450,N/A,N/A
FAMOTIDINE,LINOLENIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/5280450,N/A,N/A
FAMPRIDINE,LINUM USITATISSIMUM,https://pubchem.ncbi.nlm.nih.gov/substance/482028606,10540-29-1,N/A
FAT,LIOTHYRONINE,https://pubchem.ncbi.nlm.nih.gov/compound/5920,106133-20-4,N/A
FATTY_ACID_(UNSPECIFIED),LIPASE,https://pubchem.ncbi.nlm.nih.gov/compound/3034010,N/A,N/A
FEBUXOSTAT,LIPIDES,https://pubmed.ncbi.nlm.nih.gov/13673140,1401-55-4,"1041198-33-7, 1041198-44-0, 2322285-95-8, 61790-06-5, 67167-65-1, 73891-88-0, 93615-37-3, 1201816-48-9, 88196-66-1"
FEEDING_BOTTLES,LIPIDS,https://pubchem.ncbi.nlm.nih.gov/compound/222,N/A,N/A
FELBAMATE,LIP PROTECTANTS,https://pubmed.ncbi.nlm.nih.gov/1512743,175591-23-8,N/A
FELODIPINE,LIRAGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/16134956,91-20-3,72931-45-4
FENAMISAL,LISDEXAMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/11597698,N/A,N/A
FENBENDAZOLE,LISINOPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/5362119,87-69-4,"1336-18-1, 8014-54-8, 8059-77-6, 1039646-76-8, 1334703-49-9, 1488329-53-8, 2088032-42-0, 2411406-12-5, 138508-61-9, 1039646-76-8, 1334703-49-9, 1336-18-1, 1488329-53-8, 2088032-42-0, 2411406-12-5, 8014-54-8, 8059-77-6, 1336-18-1, 1039646-76-8, 8014-54-8, 8059-77-6, 1334703-49-9"
FENFLURAMINE,LISSAMINE GREEN,https://pubchem.ncbi.nlm.nih.gov/compound/16887,12225-21-7,"117209-34-4, 12000-64-5, 1342-53-6, 134240-82-7, 139601-06-2, 154881-98-8, 183808-13-1, 191807-79-1, 50809-64-8, 642-62-6, 84842-94-4, 389057-90-3, 469888-21-9, 1342-47-8, 117209-34-4, 12000-64-5, 1342-47-8, 1342-53-6, 134240-82-7, 139601-06-2, 154881-98-8, 183808-13-1, 191807-79-1, 389057-90-3, 469888-21-9, 50809-64-8, 642-62-6, 84842-94-4, 12227-69-9, 1342-48-9, 15790-06-4, 1809562-13-7, 53026-63-4"
FENOFIBRATE,LITHIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2513,609799-22-6,209255-28-7
FENOFIBRIC_ACID,LITHIUM MAGNESIUM SODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/71587168,107-35-7,"91105-79-2, 1365481-05-5, 2087491-53-8, 1629855-90-8, 1365481-05-5, 1629855-90-8, 2087491-53-8, 91105-79-2"
FENOLDOPAM,LIVER,https://pubchem.ncbi.nlm.nih.gov/compound/135398658,81-24-3,"113341-22-3, 54366-16-4, 83830-80-2"
FENOPROFEN,LIXISENATIDE,https://pubchem.ncbi.nlm.nih.gov/compound/90472060,174671-46-6,N/A
FENPROPOREX,LOBARIA PULMONARIA,https://pubchem.ncbi.nlm.nih.gov/substance/482027877,118292-40-3,N/A
FENTANYL,LOBELIA INFLATA,https://pubchem.ncbi.nlm.nih.gov/substance/483930407,61477-96-1,N/A
FERUMOXIDES,LODOXAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/44564,7440-43-9,N/A
FERUMOXSIL,LOFEXIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/6899,178959-14-3,N/A
FERUMOXYTOL,LOLIUM PERENNE,https://pubchem.ncbi.nlm.nih.gov/substance/483932145,N/A,N/A
FESOTERODINE,LOMEFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/68624,856867-55-5,N/A
FEXOFENADINE,LOMITAPIDE,https://pubchem.ncbi.nlm.nih.gov/compound/9853053,197922-42-2,287714-30-1
FIBRINOGEN,LOMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/3950,145158-71-0,1044642-88-7
FIDAXOMICIN,LONICERA,https://pubchem.ncbi.nlm.nih.gov/compound/5280633,402957-28-2,569364-34-7
FILGRASTIM,LONOCTOCOG ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483925802,372151-71-8,N/A
FINASTERIDE,LOPERAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3955,3424-98-4,N/A
FINGOLIMOD,LOPINAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/92727,191114-48-4,173838-31-8
FISH,LORACARBEF,https://pubchem.ncbi.nlm.nih.gov/compound/5284585,122946-43-4,N/A
FIXATIVES,LORANTHUS PARASITICUS,https://pubchem.ncbi.nlm.nih.gov/substance/482020711,144701-48-4,N/A
FLAVIN-ADENINE_DINUCLEOTIDE,LORATADINE,https://pubchem.ncbi.nlm.nih.gov/compound/3957,1033805-22-9,N/A
FLAVIN_MONONUCLEOTIDE,LORAZEPAM,https://pubchem.ncbi.nlm.nih.gov/compound/3958,604-75-1,"61036-43-9, 35295-88-6"
FLAVOCOXID,LORCASERIN,https://pubchem.ncbi.nlm.nih.gov/compound/11658860,85622-93-1,N/A
FLAVOXATE,LORLATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/71731823,N/A,N/A
FLECAINIDE,LOSARTAN,https://pubchem.ncbi.nlm.nih.gov/compound/3961,162635-04-3,"343261-52-9, 1034922-90-1"
FLIBANSERIN,LOTEPREDNOL,https://pubchem.ncbi.nlm.nih.gov/compound/444025,N/A,N/A
FLORBETAPIR_(18F),LOTUS CORNICULATUS,https://pubchem.ncbi.nlm.nih.gov/substance/482029043,29767-20-2,"23362-13-2, 31514-29-1, 35317-44-3"
FLOXURIDINE,LOVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/53232,379270-37-8,377091-31-1
FLUCONAZOLE,LOW CALORIE FOOD,https://pubmed.ncbi.nlm.nih.gov/28338210,202138-50-9,N/A
FLUCYTOSINE,LOXAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/3964,19216-56-9,N/A
FLUDARABINE,LUBIPROSTONE,https://pubchem.ncbi.nlm.nih.gov/compound/157920,91161-71-6,N/A
FLUDROCORTISONE,LUBRICANTS,https://pubchem.ncbi.nlm.nih.gov/compound/3084049,23031-25-6,46719-29-3
FLUDROXYCORTIDE,LUCINACTANT,https://pubchem.ncbi.nlm.nih.gov/compound/985,67915-31-5,N/A
FLUMAZENIL,LUFFA PURGANS,https://pubchem.ncbi.nlm.nih.gov/substance/482028085,83799-24-0,"159389-12-5, 76815-58-2"
FLUNISOLIDE,LULICONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3003141,163451-81-8,210165-52-9
FLUOCINOLONE_ACETONIDE,LUMACAFTOR,https://pubchem.ncbi.nlm.nih.gov/compound/16678941,52232-67-4,"267417-73-2, 289470-84-4, 54651-28-4, 64428-48-4, 70212-84-9"
FLUOCINONIDE,LUMEFANTRINE,https://pubchem.ncbi.nlm.nih.gov/compound/6437380,N/A,N/A
FLUORESCEIN,LURASIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/213046,8006-39-1,N/A
FLUORINE,LUSUTROMBOPAG,https://pubchem.ncbi.nlm.nih.gov/compound/49843517,218949-48-5,"775305-79-8, 804475-66-9"
FLUOROMETHOLONE,LUTEINISING HORMONE,https://pubchem.ncbi.nlm.nih.gov/compound/638793,968-93-4,N/A
FLUOROURACIL,LUTROPIN ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483936318,58-22-0,1050678-68-6
FLUOXETINE,LYCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/14236711,N/A,N/A
FLUOXYMESTERONE,LYCOPENE,https://pubchem.ncbi.nlm.nih.gov/compound/5280489,718635-93-9,N/A
FLUPHENAZINE,LYCOPERSICON ESCULENTUM,https://pubchem.ncbi.nlm.nih.gov/substance/482020237,150-13-0,8014-65-1
FLURAZEPAM,LYCOPODIUM,https://pubchem.ncbi.nlm.nih.gov/compound/621853,16960-16-0,N/A
FLURBIPROFEN,LYSINE,https://pubchem.ncbi.nlm.nih.gov/compound/5962,79-57-2,"102287-29-6, 103351-03-7, 105145-10-6, 106216-57-3, 1405-95-4, 21645-09-0, 52214-46-7, 96310-42-8, 856305-69-6, 1135442-00-0, 1256964-22-3, 909261-39-8, 102287-29-6, 103351-03-7, 105145-10-6, 106216-57-3, 1135442-00-0, 1256964-22-3, 1405-95-4, 21645-09-0, 52214-46-7, 856305-69-6, 909261-39-8, 96310-42-8"
FLUTAMIDE,LYSOZYME,https://pubchem.ncbi.nlm.nih.gov/compound/131750181,1191-50-0,"22088-37-5, 2460408-23-3"
FLUTICASONE,M-CRESOL,https://pubchem.ncbi.nlm.nih.gov/compound/342,N/A,N/A
FLUTICASONE_FUROATE,M-CRESYL ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/67406,66-40-0,N/A
FLUVASTATIN,MACADAMIA,https://pubchem.ncbi.nlm.nih.gov/substance/482027695,84-22-0,67731-52-6
FLUVOXAMINE,MACIMORELIN,https://pubchem.ncbi.nlm.nih.gov/compound/9804938,N/A,N/A
FOENICULUM_VULGARE,MACITENTAN,N/A,1152311-62-0,N/A
FOLIC_ACID,MACROGOL(S),N/A,50-35-1,"14088-68-7, 731-40-8"
FOLLICLE-STIMULATING_HORMONE,MACROGOL STEARATE(S),N/A,3081-61-6,N/A
FOLLITROPIN_ALFA,MAFENIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3998,N/A,N/A
FOLLITROPIN_BETA,MAGALDRATE,https://pubchem.ncbi.nlm.nih.gov/compound/74547,N/A,N/A
FOMEPIZOLE,MAGNESIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5960,58-08-2,"71701-02-5, 95789-13-2, 95789-13-2, 71701-02-5"
FOMIVIRSEN,MAGNOLIA,https://pubchem.ncbi.nlm.nih.gov/compound/702,58-08-2,"71701-02-5, 95789-13-2, 95789-13-2, 71701-02-5"
FONDAPARINUX_SODIUM,MAHONIA,https://pubchem.ncbi.nlm.nih.gov/substance/482040472,60-56-0,"4708-61-6, 85916-84-3, 85916-84-3"
FOOT_CREAMS/LOTIONS,MALATHION,https://pubchem.ncbi.nlm.nih.gov/compound/4004,59-43-8,"100660-17-1, 115461-66-0, 55463-15-5, 57777-32-9, 100660-17-1, 115461-66-0, 57777-32-9"
FOOT_POWDERS,MALIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/444266,1420-55-9,N/A
FORMALDEHYDE,MALONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/867,1077-28-7,"62-46-4, 27779-68-6, 27779-68-6"
FORMIC_ACID,MALPIGHIA PUNICIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/482027864,54-64-8,"11004-81-2, 113170-85-7, 130995-49-2, 2141-27-7, 23065-35-2, 25948-50-9, 77536-61-9, 8030-32-8, 8030-33-9, 362653-08-5, 878791-13-0, 11004-81-2, 113170-85-7, 130995-49-2, 2141-27-7, 23065-35-2, 25948-50-9, 362653-08-5, 77536-61-9, 8030-32-8, 8030-33-9, 878791-13-0, 77536-61-9, 113170-85-7, 8030-33-9, 11004-81-2, 878791-13-0, 362653-08-5, 130995-49-2, 8030-32-8, 23065-35-2, 2141-27-7"
FORMOTEROL,MALTASE,https://pubchem.ncbi.nlm.nih.gov/substance/482017084,76-74-4,N/A
FORSYTHIA_SUSPENSA,MALTODEXTRIN,https://pubchem.ncbi.nlm.nih.gov/compound/62698,5588-33-0,N/A
FOSAMPRENAVIR,MANGAFODIPIR,https://pubchem.ncbi.nlm.nih.gov/compound/160036,52-24-4,"639-23-6, 85177-92-0, 1631739-26-8, 1631739-26-8, 85177-92-0"
FOSAPREPITANT,MANGANESE,https://pubchem.ncbi.nlm.nih.gov/compound/1923,91-85-0,N/A
FOSCARNET_SODIUM,MANNITOL,https://pubchem.ncbi.nlm.nih.gov/compound/6251,72-19-5,"13095-55-1, 36676-50-3, 25275-17-6, 1043597-96-1, 1370710-06-7, 154605-64-8, 154605-68-2, 1644578-86-8, 31138-27-9, 5090-44-8, 1187422-62-3, 1043597-96-1, 13095-55-1, 1370710-06-7, 154605-64-8, 154605-68-2, 1644578-86-8, 25275-17-6, 36676-50-3, 1187422-62-3, 31138-27-9, 5090-44-8, 13095-55-1, 154605-64-8, 25275-17-6, 1370710-06-7, 1644578-86-8, 1043597-96-1, 7004-04-8, 154605-68-2"
FOSFESTROL,MAPROTILINE,https://pubchem.ncbi.nlm.nih.gov/compound/4011,108-95-2,"14534-23-7, 50356-25-7, 8002-07-1, 8002-07-1, 14534-23-7"
FOSFOMYCIN_TROMETAMOL,MARAVIROC,https://pubchem.ncbi.nlm.nih.gov/compound/3002977,211915-06-9,N/A
FOSINOPRIL,MATRICARIA CHAMOMILLA,https://pubchem.ncbi.nlm.nih.gov/substance/483931873,74863-84-6,N/A
FOSPHENYTOIN,MAZINDOL,https://pubchem.ncbi.nlm.nih.gov/compound/4020,89-83-8,N/A
FOSPROPOFOL,MEBENDAZOLE,N/A,N/A,N/A
FOSTAMATINIB,MECAMYLAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/4032,24305-27-9,"9015-91-2, 22365-02-2, 22365-17-9, 77666-61-6, 39422-15-6, 51810-71-0"
FRAGARIA_ANANASSA,MECASERMIN,https://pubchem.ncbi.nlm.nih.gov/substance/440791159,148-79-8,"123242-33-1, 145316-67-2, 8018-04-0, 8027-10-9, 8028-27-1, 94977-06-7, 98002-42-7, 1135441-27-8, 1135441-27-8, 123242-33-1, 145316-67-2, 1983131-69-6, 8018-04-0, 8027-10-9, 8028-27-1, 94977-06-7, 98002-42-7, 123242-33-1, 8027-10-9, 98002-42-7, 8018-04-0, 94977-06-7, 145316-67-2, 1135441-27-8"
FRAGARIA_VESCA,MECASERMIN RINFABATE,https://pubchem.ncbi.nlm.nih.gov/substance/481101741,115103-54-3,N/A
FRAXINUS_EXCELSIOR,MECLOFENAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/4038,274693-27-5,N/A
FREMANEZUMAB,MECLOZINE,https://pubchem.ncbi.nlm.nih.gov/compound/4034,34787-01-4,N/A
FROVATRIPTAN,MECOBALAMIN,https://pubchem.ncbi.nlm.nih.gov/compound/6474318,53885-35-1,N/A
FRUCTOOLIGSACCHARIDES,MEDICAGO SATIVA,https://pubchem.ncbi.nlm.nih.gov/substance/482027162,10118-90-8,"146440-73-5, 17175-40-5, 24058-90-0, 1071761-03-9, 17175-40-5"
FRUCTOSE,MEDICATED DRESSINGS,https://pubchem.ncbi.nlm.nih.gov/compound/5564,7296-64-2,121854-92-0
FUCOXANTHIN,MEDICATED SHAMPOOS,https://pubchem.ncbi.nlm.nih.gov/compound/5362487,N/A,N/A
FUCUS_VESICULOSUS,MEDICINAL SOAP,https://pubchem.ncbi.nlm.nih.gov/substance/17398150,89987-06-4,96538-83-9
FULVESTRANT,MEDROXYPROGESTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/10631,26839-75-8,"131628-37-0, 194288-09-0, 131628-37-0"
FUMARIA_OFFICINALIS,MEDRYSONE,https://pubchem.ncbi.nlm.nih.gov/compound/247839,119-36-8,"8022-86-4, 8024-54-2, 648434-07-5, 648434-07-5, 8022-86-4, 8024-54-2, 8024-54-2, 8022-86-4, 68917-50-0; 68917-75-9"
FUMARIC_ACID,MEFENAMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/243,148159-84-6,N/A
FURAZOLIDONE,MEFLOQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/40692,N/A,N/A
FUROSEMIDE,MEGESTROL,https://pubchem.ncbi.nlm.nih.gov/compound/19090,9005-49-6,"104521-37-1, 9075-96-1, 91449-79-5, 11078-24-3, 11129-39-8, 37324-73-5, 1108625-99-5, 1108626-06-7"
GABAPENTIN,MEGLUMINE AMIDOTRIZOATE,https://pubchem.ncbi.nlm.nih.gov/compound/8566,65899-73-2,144025-07-0
GABAPENTIN_ENACARBIL,MELALEUCA ALTERNIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/483930741,154-42-7,N/A
GADOBENIC_ACID,MELATONIN,https://pubchem.ncbi.nlm.nih.gov/compound/753,1953-02-2,N/A
GADOBUTROL,MELISSA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483930737,3313-26-6,N/A
GADODIAMIDE,MELOXICAM,https://pubchem.ncbi.nlm.nih.gov/compound/54677470,136310-93-5,N/A
GADOFOSVESET,MELPHALAN,https://pubchem.ncbi.nlm.nih.gov/compound/460612,183204-74-2,N/A
GADOPENTETIC_ACID,MEMANTINE,https://pubchem.ncbi.nlm.nih.gov/compound/4054,174484-41-4,N/A
GADOTERIC_ACID,MENADIONE,https://pubchem.ncbi.nlm.nih.gov/compound/4055,144494-65-5,151065-53-1
GADOTERIDOL,MENAQUINONE-7,https://pubchem.ncbi.nlm.nih.gov/compound/5287554,1333-74-0,725200-57-7
GADOVERSETAMIDE,MENTHA PIPERITA,https://pubchem.ncbi.nlm.nih.gov/substance/483935053,107-15-3,"8030-24-8, 85404-18-8, 85404-18-8, 8030-24-8"
GADOXETIC_ACID,MENTHA VIRIDIS,https://pubchem.ncbi.nlm.nih.gov/substance/482021574,32986-56-4,"11098-01-4, 11111-45-8, 54330-95-9, 37321-13-4, 70322-33-7, 34337-51-4"
GALACTOSE,MENTHOL,https://pubchem.ncbi.nlm.nih.gov/compound/1254,41708-72-9,N/A
GALANTAMINE,MEPACRINE,https://pubchem.ncbi.nlm.nih.gov/compound/237,N/A,N/A
GALCANEZUMAB,MEPENZOLATE,https://pubchem.ncbi.nlm.nih.gov/compound/4057,477600-75-2,N/A
GALLIUM,MEPHENESIN,https://pubchem.ncbi.nlm.nih.gov/compound/4059,N/A,N/A
GALPHIMIA_GLAUCA,MEPHENTERMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3677,1156-19-0,N/A
GALSULFASE,MEPHENYTOIN,https://pubchem.ncbi.nlm.nih.gov/compound/4060,59-98-3,N/A
GAMOLENIC_ACID,MEPIVACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/4062,64-77-7,100735-34-0
GANCICLOVIR,MEPOLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101752,134308-13-7,N/A
GANIRELIX,MEPROBAMATE,https://pubchem.ncbi.nlm.nih.gov/compound/4064,26171-23-3,87344-04-5
GANODERMA_APPLANATUM,MEPYRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/4992,135-19-3,860440-31-9
GARCINIA_CAMBOGIA,MEQUINOL,https://pubchem.ncbi.nlm.nih.gov/compound/9015,124937-51-5,215929-30-9
GARCINIA_MANGOSTANA,MERBROMIN,https://pubchem.ncbi.nlm.nih.gov/compound/441373,119-53-9,"579-44-2, 9000-73-1, 91845-21-5"
GARDENIA,MERCAPTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6058,150683-30-0,N/A
GASTRIC_JUICE,MERCAPTOPURINE,https://pubchem.ncbi.nlm.nih.gov/compound/667490,N/A,N/A
