molecule,crp,intprd,cas,matched_drugid,match_type_ncas,different_compounds
BENZOYL_PEROXIDE#CLINDAMYCIN,BAUSCH_HEALTH,BENZACLIN,94-36-0,"78987, 90148",1,0
BEPOTASTINE,BAUSCH_HEALTH,BEPREVE,125602-71-3,50257,1,0
BESIFLOXACIN,BAUSCH_HEALTH,BESIVANCE,141388-76-3,32010,1,0
BETAMETHASONE,MERCK_&_CO,CELESTONE,378-44-9,44281,1,0
BETAMETHASONE#CALCIPOTRIOL,LEO_PHARMA,DAIVOBET,112965-21-6,"12242, 50974, 63740, 65925",1,0
BETAMETHASONE#CALCIPOTRIOL,LEO_PHARMA,DAIVOBET,378-44-9,44281,1,0
BETAXOLOL,NOVARTIS,BETOPTIC,63659-18-7,"2626, 80040",1,0
BETRIXABAN,PORTOLA_PHARMA,BEVYXXA,330942-05-7,44219,1,0
BICALUTAMIDE,ANI_PHARMACEUTICAL,CASODEX,90357-06-5,3311,1,0
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,143491-54-7,4728,1,0
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,143491-57-0,"4728, 49219, 50038, 62277, 63988, 72153, 75324, 94396, 95280, 100097",1,0
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,1611493-60-7,100097,1,0
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,379270-37-8,"40532, 72153, 75324, 94396, 95280, 100097",1,0
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,"143491-54-7, 143491-57-0",4728,2,0
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,"143491-57-0, 379270-37-8",72153,2,1
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,"143491-57-0, 379270-37-8",75324,2,1
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,"143491-57-0, 379270-37-8",94396,2,1
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,"143491-57-0, 379270-37-8",95280,2,1
BICTEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,BIKTARVY,"143491-57-0, 1611493-60-7, 379270-37-8",100097,3,1
BIMATOPROST,ALLERGAN,LUMIGAN,155206-00-1,12838,1,0
BINIMETINIB,ARRAY_BIOPHARMA,MEKTOVI,606143-89-9,55305,1,0
BISMUTH#METRONIDAZOLE#TETRACYCLINE,ALLERGAN,PYLERA,443-48-1,"17168, 17249, 89957",1,0
BISMUTH#METRONIDAZOLE#TETRACYCLINE,ALLERGAN,PYLERA,60-54-8,17249,1,0
BISMUTH#METRONIDAZOLE#TETRACYCLINE,ALLERGAN,PYLERA,"443-48-1, 60-54-8",17249,2,1
BISOPROLOL,TEVA,ZEBETA,66722-44-9,"44372, 70332",1,0
BISOPROLOL#HYDROCHLOROTHIAZIDE,TEVA,ZIAC,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291",1,0
BISOPROLOL#HYDROCHLOROTHIAZIDE,TEVA,ZIAC,66722-44-9,"44372, 70332",1,0
BISOPROLOL#HYDROCHLOROTHIAZIDE,TEVA,ZIAC,"58-93-5, 66722-44-9",70332,2,1
BIVALIRUDIN,THE_MEDICINES_CO,ANGIOMAX,128270-60-0,"3285, 109146",1,0
BOCEPREVIR,MERCK_&_CO,VICTRELIS,394730-60-0,15322,1,0
BORTEZOMIB,TAKEDA,VELCADE,179324-69-7,15954,1,0
BOSENTAN,JOHNSON_&_JOHNSON,TRACLEER,147536-97-8,5871,1,0
BOSUTINIB,PFIZER,BOSULIF,380843-75-4,30379,1,0
BRENTUXIMAB_VEDOTIN,SEATTLE_GENETICS,ADCETRIS,914088-09-8,39172,1,0
BREXPIPRAZOLE,OTSUKA,REXULTI,913611-97-9,62001,1,0
BRIMONIDINE,ALLERGAN,ALPHAGAN,59803-98-4,"8897, 54133, 55053, 70572",1,0
BRIMONIDINE#BRINZOLAMIDE,NOVARTIS,SIMBRINZA,138890-62-7,"9906, 70572",1,0
BRIMONIDINE#BRINZOLAMIDE,NOVARTIS,SIMBRINZA,59803-98-4,"8897, 54133, 55053, 70572",1,0
BRIMONIDINE#BRINZOLAMIDE,NOVARTIS,SIMBRINZA,"138890-62-7, 59803-98-4",70572,2,1
BRIMONIDINE#TIMOLOL,ALLERGAN,COMBIGAN,26839-75-8,"44315, 50845, 54133, 70335",1,0
BRIMONIDINE#TIMOLOL,ALLERGAN,COMBIGAN,59803-98-4,"8897, 54133, 55053, 70572",1,0
BRIMONIDINE#TIMOLOL,ALLERGAN,COMBIGAN,"26839-75-8, 59803-98-4",54133,2,1
BRINZOLAMIDE,NOVARTIS,AZOPT,138890-62-7,"9906, 70572",1,0
BRIVARACETAM,UCB,BRIVIACT,357336-20-0,37592,1,0
BUDESONIDE,ASTRAZENECA,PULMICORT,51333-22-3,"5957, 30712, 55981, 57983, 59670",1,0
BUDESONIDE#FORMOTEROL,ASTRAZENECA,SYMBICORT,51333-22-3,"5957, 30712, 55981, 57983, 59670",1,0
BUDESONIDE#FORMOTEROL,ASTRAZENECA,SYMBICORT,73573-87-2,"6140, 30712, 55921, 57366, 60482, 63702",1,0
BUDESONIDE#FORMOTEROL,ASTRAZENECA,SYMBICORT,"51333-22-3, 73573-87-2",30712,2,1
BUPRENORPHINE,BIODELIVERY_SCI,BELBUCA,52485-79-7,"2695, 31115, 33497, 54734, 57557, 64940, 66004, 75426, 82591",1,0
BUPROPION,BAUSCH_HEALTH,APLENZIN,34911-55-2,"5929, 44017, 55454, 56401, 58643",1,0
BUPROPION#NALTREXONE,NALPROPION_PHARM,CONTRAVE,16590-41-3,"30864, 54244, 55454, 68997",1,0
BUPROPION#NALTREXONE,NALPROPION_PHARM,CONTRAVE,34911-55-2,"5929, 44017, 55454, 56401, 58643",1,0
BUPROPION#NALTREXONE,NALPROPION_PHARM,CONTRAVE,"16590-41-3, 34911-55-2",55454,2,1
BUSPIRONE,BRISTOL-MYERS_SQB.,BUSPAR,36505-84-7,"44364, 51012",1,0
BUSULFAN,PRASCO_LABS,MYLERAN,55-98-1,9829,1,0
BUTORPHANOL,BRISTOL-MYERS_SQB.,STADOL,42408-82-2,12241,1,0
BUTYLATED_HYDROXYANISOLE#CAPSAICIN,NEUROGESX,QUTENZA,404-86-4,39893,1,0
CABAZITAXEL,SANOFI,JEVTANA,183133-96-2,28035,1,0
CABERGOLINE,PFIZER,DOSTINEX,81409-90-7,2705,1,0
CABOZANTINIB,EXELIXIS,COMETRIQ,849217-68-1,50935,1,0
CALCIPOTRIOL,LEO_PHARMA,DAIVONEX,112965-21-6,"12242, 50974, 63740, 65925",1,0
CALCITRIOL,NESTLE,SILKIS,32222-06-3,"10643, 12265",1,0
CANAGLIFLOZIN,JOHNSON_&_JOHNSON,INVOKANA,842133-18-0,"57592, 67614, 74198",1,0
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,1115-70-4,"6050, 49077, 49829",1,0
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,657-24-9,"6050, 27454, 29182, 48279, 49077, 49829, 54657, 55177, 56555, 56823, 59100, 59370, 64334, 67614, 68567, 68598, 74198, 82005, 84865, 93902",1,0
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,842133-18-0,"57592, 67614, 74198",1,0
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,"1115-70-4, 657-24-9",6050,2,0
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,"1115-70-4, 657-24-9",49077,2,0
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,"1115-70-4, 657-24-9",49829,2,0
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,"657-24-9, 842133-18-0",67614,2,1
CANAGLIFLOZIN#METFORMIN,JOHNSON_&_JOHNSON,VOKANAMET,"657-24-9, 842133-18-0",74198,2,1
CANDESARTAN_CILEXETIL,ANI_PHARMACEUTICAL,ATACAND,145040-37-5,4522,1,0
CANDESARTAN_CILEXETIL#HYDROCHLOROTHIAZIDE,ANI_PHARMACEUTICAL,ATACAND PLUS,145040-37-5,4522,1,0
CANDESARTAN_CILEXETIL#HYDROCHLOROTHIAZIDE,ANI_PHARMACEUTICAL,ATACAND PLUS,58-93-5,"3517, 16073, 24189, 46939, 47877, 52092, 54363, 59553, 61908, 69924, 70332, 70334, 70337, 70338, 70340, 70341, 70342, 70525, 80291",1,0
CANGRELOR,CHIESI,KENGREAL,163706-06-7,19901,1,0
CANNABIDIOL,GW_PHARMACEUTICALS,EPIDIOLEX,13956-29-1,57457,1,0
CAPECITABINE,ROCHE,XELODA,154361-50-9,12205,1,0
CAPTOPRIL,ENDO_INTERNATIONAL,CAPOTEN,62571-86-2,44366,1,0
CARBAMAZEPINE,NOVARTIS,TEGRETOL,298-46-4,"12781, 44697, 59158",1,0
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,130929-57-6,"6556, 33005",1,0
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,28860-95-9,"33005, 44388, 58997, 60718, 60977, 94517",1,0
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,59-92-7,"33005, 44388, 58997, 60718, 60977, 69677, 94517",1,0
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,"130929-57-6, 28860-95-9, 59-92-7",33005,3,1
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,"28860-95-9, 59-92-7",44388,2,1
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,"28860-95-9, 59-92-7",58997,2,1
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,"28860-95-9, 59-92-7",60718,2,1
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,"28860-95-9, 59-92-7",60977,2,1
CARBIDOPA#ENTACAPONE#LEVODOPA,NOVARTIS,STALEVO,"28860-95-9, 59-92-7",94517,2,1
CARBOPLATIN,BRISTOL-MYERS_SQB.,PARAPLATIN,41575-94-4,44383,1,0
CARFILZOMIB,AMGEN,KYPROLIS,868540-17-4,54601,1,0
CARGLUMIC_ACID,RECORDATI,CARBAGLU,1188-38-1,59928,1,0
CARIPRAZINE,ALLERGAN,VRAYLAR,839712-12-8,51405,1,0
CARVEDILOL,GLAXOSMITHKLINE,KREDEX,72956-09-3,"8955, 48477",1,0
CASPOFUNGIN,MERCK_&_CO,CANCIDAS,162808-62-0,12544,1,0
CEFACLOR,LILLY,CECLOR,53994-73-3,44367,1,0
CEFADROXIL,ALLERGAN,DURICEF,50370-12-2,46931,1,0
CEFDINIR,ABBVIE,OMNICEF,91832-40-5,5969,1,0
CEFDITOREN_PIVOXIL,VANSEN_PHARMA,SPECTRACEF,117467-28-4,10229,1,0
CEFOTAXIME,PFIZER,CLAFORAN,63527-52-6,44369,1,0
CEFPODOXIME_PROXETIL,PFIZER,VANTIN,87239-81-4,2740,1,0
CEFPROZIL,BRISTOL-MYERS_SQB.,CEFZIL,92665-29-7,5975,1,0
CEFPROZIL,BRISTOL-MYERS_SQB.,CEFZIL,92676-86-3,5975,1,0
CEFPROZIL,BRISTOL-MYERS_SQB.,CEFZIL,"92665-29-7, 92676-86-3",5975,2,0
CEFTAROLINE_FOSAMIL,ALLERGAN,TEFLARO,229016-73-3,42107,1,0
CEFTIBUTEN,PERNIX,CEDAX,97519-39-6,2742,1,0
CEFTOLOZANE#TAZOBACTAM,MERCK_&_CO,ZERBAXA,689293-68-3,63012,1,0
CEFTOLOZANE#TAZOBACTAM,MERCK_&_CO,ZERBAXA,89786-04-9,"29446, 63012",1,0
CEFTOLOZANE#TAZOBACTAM,MERCK_&_CO,ZERBAXA,"689293-68-3, 89786-04-9",63012,2,1
CEFTRIAXONE,ROCHE,ROCEPHIN,73384-59-5,44384,1,0
CEFUROXIME,GLAXOSMITHKLINE,ZINACEF,55268-75-2,44368,1,0
CEFUROXIME_AXETIL,GLAXOSMITHKLINE,ZINNAT,64544-07-6,44368,1,0
CELECOXIB,PFIZER,CELEBREX,169590-42-5,"12135, 90955",1,0
CERITINIB,NOVARTIS,ZYKADIA,1032900-25-6,69858,1,0
CERIVASTATIN,BAYER,LIPOBAY,145599-86-6,2595,1,0
CETRORELIX,MERCK_KGAA,CETROTIDE,120287-85-6,6817,1,0
CEVIMELINE,DAIICHI_SANKYO,EVOXAC,107233-08-9,3150,1,0
CHOLINE_FENOFIBRATE,ABBVIE,TRILIPIX,856676-23-8,55355,1,0
CICLESONIDE,COVIS_PHARMA,ALVESCO,126544-47-6,"12803, 39889",1,0
CICLOSPORIN,ALLERGAN,RESTASIS,59865-13-3,"5999, 11392, 43538, 93113",1,0
CIDOFOVIR,GILEAD_SCIENCES,VISTIDE,113852-37-2,6955,1,0
CILASTATIN#IMIPENEM,MERCK_&_CO,ZIENAM,64221-86-9,"44406, 98214",1,0
CILASTATIN#IMIPENEM,MERCK_&_CO,ZIENAM,82009-34-5,"44406, 98214",1,0
CILASTATIN#IMIPENEM,MERCK_&_CO,ZIENAM,"64221-86-9, 82009-34-5",44406,2,1
CILASTATIN#IMIPENEM,MERCK_&_CO,ZIENAM,"64221-86-9, 82009-34-5",98214,2,1
CILOSTAZOL,OTSUKA,PLETAAL,73963-72-1,13482,1,0
CIMETIDINE,PRESTIGE_BRANDS,TAGAMET,51481-61-9,44398,1,0
CINACALCET,AMGEN,SENSIPAR,226256-56-0,16242,1,0
CIPROFLOXACIN,NOVARTIS,CILOXAN,85721-33-1,"32696, 35108, 44438, 48942, 51007, 65653, 68594",1,0
CIPROFLOXACIN#DEXAMETHASONE,NOVARTIS,CILODEX,50-02-2,"12737, 48940, 51007, 65274, 80269",1,0
CIPROFLOXACIN#DEXAMETHASONE,NOVARTIS,CILODEX,85721-33-1,"32696, 35108, 44438, 48942, 51007, 65653, 68594",1,0
CIPROFLOXACIN#DEXAMETHASONE,NOVARTIS,CILODEX,"50-02-2, 85721-33-1",51007,2,1
CIPROFLOXACIN#FLUOCINOLONE_ACETONIDE,ARBOR_PHARM,OTOVEL,67-73-2,"28539, 52822, 68594",1,0
CIPROFLOXACIN#FLUOCINOLONE_ACETONIDE,ARBOR_PHARM,OTOVEL,85721-33-1,"32696, 35108, 44438, 48942, 51007, 65653, 68594",1,0
CIPROFLOXACIN#FLUOCINOLONE_ACETONIDE,ARBOR_PHARM,OTOVEL,"67-73-2, 85721-33-1",68594,2,1
CISATRACURIUM_BESILATE,ABBVIE,NIMBEX,96946-42-8,4734,1,0
CITALOPRAM,ALLERGAN,CELEXA,59729-33-8,"2822, 48998",1,0
CLADRIBINE,JOHNSON_&_JOHNSON,LEUSTATIN,4291-63-8,"3490, 56102",1,0
CLARITHROMYCIN,ABBVIE,BIAXIN,81103-11-9,2829,1,0
CLEVIDIPINE,CHIESI,CLEVIPREX,167221-71-8,15227,1,0
CLINDAMYCIN,PERRIGO,CLINDESSE,18323-44-9,"44370, 46999, 62195, 62738",1,0
CLINDAMYCIN#TRETINOIN,BAUSCH_HEALTH,ZIANA,18323-44-9,"44370, 46999, 62195, 62738",1,0
CLINDAMYCIN#TRETINOIN,BAUSCH_HEALTH,ZIANA,302-79-4,"9247, 12785, 13654, 51632, 56385, 62738, 98161",1,0
CLINDAMYCIN#TRETINOIN,BAUSCH_HEALTH,ZIANA,"18323-44-9, 302-79-4",62738,2,1
CLOBAZAM,LUNDBECK,ONFI,22316-47-8,"79850, 104430",1,0
CLOBETASOL,ENCORE_DERM,IMPOYZ,25122-41-2,18168,1,0
CLOBETASOL,ENCORE_DERM,IMPOYZ,25122-46-7,"18168, 91179, 96680",1,0
CLOBETASOL,ENCORE_DERM,IMPOYZ,"25122-41-2, 25122-46-7",18168,2,0
CLOFARABINE,SANOFI,CLOLAR,123318-82-1,23624,1,0
CLONAZEPAM,ROCHE,RIVOTRIL,1622-61-3,44287,1,0
CLONIDINE,BOEHRINGER_INGEL,CATAPRESAN,4205-90-7,"46928, 58634, 69626",1,0
CLOPIDOGREL,BRISTOL-MYERS_SQB.,PLAVIX B-MS,113665-84-2,2836,1,0
CLOZAPINE,HLS_THERAPEUTICS,CLOZARIL,5786-21-0,"44371, 77575, 77646",1,0
COBICISTAT,GILEAD_SCIENCES,TYBOST,1004316-88-4,"62275, 62277, 72148, 72153, 74263, 75324",1,0
COBICISTAT#DARUNAVIR,JOHNSON_&_JOHNSON,PREZCOBIX,1004316-88-4,"62275, 62277, 72148, 72153, 74263, 75324",1,0
COBICISTAT#DARUNAVIR,JOHNSON_&_JOHNSON,PREZCOBIX,206361-99-1,"32981, 72148, 72153",1,0
COBICISTAT#DARUNAVIR,JOHNSON_&_JOHNSON,PREZCOBIX,"1004316-88-4, 206361-99-1",72148,2,1
COBICISTAT#DARUNAVIR,JOHNSON_&_JOHNSON,PREZCOBIX,"1004316-88-4, 206361-99-1",72153,2,1
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,1004316-88-4,"62275, 62277, 72148, 72153, 74263, 75324",1,0
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,143491-54-7,4728,1,0
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,143491-57-0,"4728, 49219, 50038, 62277, 63988, 72153, 75324, 94396, 95280, 100097",1,0
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,206361-99-1,"32981, 72148, 72153",1,0
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,379270-37-8,"40532, 72153, 75324, 94396, 95280, 100097",1,0
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"143491-54-7, 143491-57-0",4728,2,0
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"1004316-88-4, 143491-57-0",62277,2,1
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"1004316-88-4, 206361-99-1",72148,2,1
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"1004316-88-4, 143491-57-0, 206361-99-1, 379270-37-8",72153,4,1
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"1004316-88-4, 143491-57-0, 379270-37-8",75324,3,1
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"143491-57-0, 379270-37-8",94396,2,1
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"143491-57-0, 379270-37-8",95280,2,1
COBICISTAT#DARUNAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,JOHNSON_&_JOHNSON,SYMTUZA,"143491-57-0, 379270-37-8",100097,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,1004316-88-4,"62275, 62277, 72148, 72153, 74263, 75324",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,143491-54-7,4728,1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,143491-57-0,"4728, 49219, 50038, 62277, 63988, 72153, 75324, 94396, 95280, 100097",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,379270-37-8,"40532, 72153, 75324, 94396, 95280, 100097",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,697761-98-1,"51371, 62277, 75324",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,"143491-54-7, 143491-57-0",4728,2,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,"1004316-88-4, 143491-57-0, 697761-98-1",62277,3,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,"1004316-88-4, 143491-57-0, 379270-37-8",72153,3,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,"1004316-88-4, 143491-57-0, 379270-37-8, 697761-98-1",75324,4,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,"143491-57-0, 379270-37-8",94396,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,"143491-57-0, 379270-37-8",95280,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_ALAFENAMIDE,GILEAD_SCIENCES,GENVOYA,"143491-57-0, 379270-37-8",100097,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,1004316-88-4,"62275, 62277, 72148, 72153, 74263, 75324",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,143491-54-7,4728,1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,143491-57-0,"4728, 49219, 50038, 62277, 63988, 72153, 75324, 94396, 95280, 100097",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,201341-05-1,"14493, 49219, 50038, 62277, 63988, 65069, 73625, 96077, 109933, 113752",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,697761-98-1,"51371, 62277, 75324",1,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,"143491-54-7, 143491-57-0",4728,2,0
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,"143491-57-0, 201341-05-1",49219,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,"143491-57-0, 201341-05-1",50038,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,"1004316-88-4, 143491-57-0, 201341-05-1, 697761-98-1",62277,4,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,"143491-57-0, 201341-05-1",63988,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,"1004316-88-4, 143491-57-0",72153,2,1
COBICISTAT#ELVITEGRAVIR#EMTRICITABINE#TENOFOVIR_DISOPROXIL,GILEAD_SCIENCES,STRIBILD,"1004316-88-4, 143491-57-0, 697761-98-1",75324,3,1
COBIMETINIB,ROCHE,COTELLIC,934660-93-2,56544,1,0
COLESEVELAM,DAIICHI_SANKYO,WELCHOL,182815-43-6,11290,1,0
COLFOSCERIL_PALMITATE,GLAXOSMITHKLINE,EXOSURF,63-89-8,"2843, 9798",1,0
CONIVAPTAN,CUMBERLAND_PHARMAC,VAPRISOL,210101-16-9,8555,1,0
COPANLISIB,BAYER,ALIQOPA,1032568-63-0,64231,1,0
CRISABOROLE,PFIZER,EUCRISA,906673-24-3,55424,1,0
CROFELEMER,NAPO_PHARM,FULYZAQ,148465-45-6,9201,1,0
CYTARABINE,ALFASIGMA,DEPOCYT,147-94-4,"9049, 53082",1,0
CYTARABINE#DAUNORUBICIN,JAZZ_PHARMA,VYXEOS,147-94-4,"9049, 53082",1,0
CYTARABINE#DAUNORUBICIN,JAZZ_PHARMA,VYXEOS,20830-81-3,"2959, 53082",1,0
CYTARABINE#DAUNORUBICIN,JAZZ_PHARMA,VYXEOS,"147-94-4, 20830-81-3",53082,2,1
DABIGATRAN_ETEXILATE,BOEHRINGER_INGEL,PRADAXA,211915-06-9,24343,1,0
DABRAFENIB,NOVARTIS,TAFINLAR,1195765-45-7,53133,1,0
DACLATASVIR,BRISTOL-MYERS_SQB.,DAKLINZA,1009119-64-5,58741,1,0
DACLIZUMAB,ROCHE,ZENAPAX,152923-56-3,"2546, 71582",1,0
DACOMITINIB,PFIZER,VIZIMPRO,1110813-31-4,55705,1,0
DALBAVANCIN,ALLERGAN,DALVANCE,171500-79-1,13785,1,0
DALFOPRISTIN#QUINUPRISTIN,PFIZER,SYNERCID,112362-50-2,4275,1,0
DALFOPRISTIN#QUINUPRISTIN,PFIZER,SYNERCID,120138-50-3,4275,1,0
DALFOPRISTIN#QUINUPRISTIN,PFIZER,SYNERCID,"112362-50-2, 120138-50-3",4275,2,1
DAPAGLIFLOZIN,ASTRAZENECA,FORXIGA,461432-26-8,"52192, 59370, 83956, 93902",1,0
DAPAGLIFLOZIN#METFORMIN,ASTRAZENECA,XIGDUO,1115-70-4,"6050, 49077, 49829",1,0
DAPAGLIFLOZIN#METFORMIN,ASTRAZENECA,XIGDUO,461432-26-8,"52192, 59370, 83956, 93902",1,0
DAPAGLIFLOZIN#METFORMIN,ASTRAZENECA,XIGDUO,657-24-9,"6050, 27454, 29182, 48279, 49077, 49829, 54657, 55177, 56555, 56823, 59100, 59370, 64334, 67614, 68567, 68598, 74198, 82005, 84865, 93902",1,0
DAPAGLIFLOZIN#METFORMIN,ASTRAZENECA,XIGDUO,"1115-70-4, 657-24-9",6050,2,0
DAPAGLIFLOZIN#METFORMIN,ASTRAZENECA,XIGDUO,"1115-70-4, 657-24-9",49077,2,0
