Molecule,Parsed,Link
BENDAMUSTINE,BENDAMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/65628
BENDROFLUMETHIAZIDE,BENDROFLUMETHIAZIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2315
BENRALIZUMAB,BENRALIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101536
BENTONITE,BENTONITE,https://pubchem.ncbi.nlm.nih.gov/compound/56841936
BENTOQUATAM,BENTOQUATAM,https://pubchem.ncbi.nlm.nih.gov/compound/517273
BENZALKONIUM_CHLORIDE,BENZALKONIUM CHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/244
BENZATROPINE,BENZATROPINE,https://pubchem.ncbi.nlm.nih.gov/compound/1201549
BENZETHONIUM_CHLORIDE,BENZETHONIUM CHLORIDE,https://pubchem.ncbi.nlm.nih.gov/compound/8478
BENZOCAINE,BENZOCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2337
BENZOIC_ACID,BENZOIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/243
BENZONATATE,BENZONATATE,https://pubchem.ncbi.nlm.nih.gov/compound/7699
BENZOPHENONE,BENZOPHENONE,https://pubchem.ncbi.nlm.nih.gov/compound/3102
BENZOXIQUINE,BENZOXIQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/6855
BENZOYL_PEROXIDE,BENZOYL PEROXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/243
BENZPHETAMINE,BENZPHETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6267
BENZYL_ALCOHOL,BENZYL ALCOHOL,https://pubchem.ncbi.nlm.nih.gov/compound/2345
BENZYL_BENZOATE,BENZYL BENZOATE,https://pubchem.ncbi.nlm.nih.gov/compound/2345
BEPOTASTINE,BEPOTASTINE,https://pubchem.ncbi.nlm.nih.gov/compound/164521
BEPRIDIL,BEPRIDIL,https://pubchem.ncbi.nlm.nih.gov/compound/2351
BERACTANT,BERACTANT,https://pubchem.ncbi.nlm.nih.gov/substance/481101538
BERBERIS_VULGARIS,BERBERIS VULGARIS,https://pubchem.ncbi.nlm.nih.gov/substance/483933991
BESIFLOXACIN,BESIFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/10178705
BETACAROTENE,BETACAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/5280489
BETAHISTINE,BETAHISTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2366
BETAINE,BETAINE,https://pubchem.ncbi.nlm.nih.gov/compound/247
BETAMETHASONE,BETAMETHASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5743
BETAXOLOL,BETAXOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/2369
BETA_VULGARIS,BETA VULGARIS,https://pubchem.ncbi.nlm.nih.gov/substance/482039857
BETHANECHOL,BETHANECHOL,https://pubchem.ncbi.nlm.nih.gov/compound/11548
BETRIXABAN,BETRIXABAN,https://pubchem.ncbi.nlm.nih.gov/compound/10275777
BEVACIZUMAB,BEVACIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/24801581
BEXAROTENE,BEXAROTENE,https://pubchem.ncbi.nlm.nih.gov/compound/82146
BEZLOTOXUMAB,BEZLOTOXUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101543
BICALUTAMIDE,BICALUTAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2375
BICTEGRAVIR,BICTEGRAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/90311989
BIFIDOBACTERIUM_ANIMALIS,BIFIDOBACTERIUM ANIMALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924827
BIFIDOBACTERIUM_BIFIDUS,BIFIDOBACTERIUM BIFIDUS,https://pubchem.ncbi.nlm.nih.gov/substance/482040398
BIFIDOBACTERIUM_BREVE,BIFIDOBACTERIUM BREVE,https://pubchem.ncbi.nlm.nih.gov/substance/482040497
BIFIDOBACTERIUM_INFANTIS,BIFIDOBACTERIUM INFANTIS,https://pubchem.ncbi.nlm.nih.gov/substance/441072910
BIFIDOBACTERIUM_LONGUM,BIFIDOBACTERIUM LONGUM,https://pubchem.ncbi.nlm.nih.gov/substance/405227688
BILE,BILE,https://pubchem.ncbi.nlm.nih.gov/compound/221493
BILIARY_ACIDS,BILIARY ACIDS,https://pubchem.ncbi.nlm.nih.gov/bioassay/20700
BILIRUBIN_TESTS,BILIRUBIN TESTS,https://pubchem.ncbi.nlm.nih.gov/bioassay/1405986
BIMATOPROST,BIMATOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/5311027
BINIMETINIB,BINIMETINIB,https://pubchem.ncbi.nlm.nih.gov/compound/10288191
BIOFLAVONOIDS,BIOFLAVONOIDS,https://pubchem.ncbi.nlm.nih.gov/compound/5280805
BIOTIN,BIOTIN,https://pubchem.ncbi.nlm.nih.gov/compound/171548
BIPERIDEN,BIPERIDEN,https://pubchem.ncbi.nlm.nih.gov/compound/241
BISACODYL,BISACODYL,https://pubchem.ncbi.nlm.nih.gov/compound/2391
BISMUTH,BISMUTH,https://pubchem.ncbi.nlm.nih.gov/compound/697993
BISOPROLOL,BISOPROLOL,https://pubchem.ncbi.nlm.nih.gov/compound/126
BITOLTEROL,BITOLTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/35330
BIVALIRUDIN,BIVALIRUDIN,https://pubchem.ncbi.nlm.nih.gov/compound/16129704
BLEOMYCIN,BLEOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/5360373
BLINATUMOMAB,BLINATUMOMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101544
BLOOD_COAGULATION_TEST,BLOOD COAGULATION TEST,https://pubchem.ncbi.nlm.nih.gov/bioassay/1796645
BLOOD_PLASMA,BLOOD PLASMA,https://pubchem.ncbi.nlm.nih.gov/compound/4125253
BOCEPREVIR,BOCEPREVIR,https://pubchem.ncbi.nlm.nih.gov/compound/10324367
BORAGO_OFFICINALIS,BORAGO OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/482039606
BORIC_ACID,BORIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/7628
BORON,BORON,https://pubchem.ncbi.nlm.nih.gov/compound/7628
BORTEZOMIB,BORTEZOMIB,https://pubchem.ncbi.nlm.nih.gov/compound/387447
BOSENTAN,BOSENTAN,https://pubchem.ncbi.nlm.nih.gov/compound/104865
BOSUTINIB,BOSUTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/5328940
BOSWELLIA_SERRATIA,BOSWELLIA SERRATIA,https://pubmed.ncbi.nlm.nih.gov/31363397
BRAN,BRAN,https://pubchem.ncbi.nlm.nih.gov/compound/204
BRASSICA_CAMPESTRIS,BRASSICA CAMPESTRIS,https://pubchem.ncbi.nlm.nih.gov/substance/482039183
BRASSICA_NAPUS,BRASSICA NAPUS,https://pubchem.ncbi.nlm.nih.gov/compound/100917761
BRASSICA_NIGRA,BRASSICA NIGRA,https://pubchem.ncbi.nlm.nih.gov/substance/482039098
BREATH_FRESHNERS,BREATH FRESHNERS,N/A
BRENTUXIMAB_VEDOTIN,BRENTUXIMAB VEDOTIN,https://pubchem.ncbi.nlm.nih.gov/substance/481101546
BRETYLIUM,BRETYLIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2431
BREXPIPRAZOLE,BREXPIPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/11978813
BRIGATINIB,BRIGATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/68165256
BRILLIANT_GREEN,BRILLIANT GREEN,https://pubchem.ncbi.nlm.nih.gov/compound/10112
BRIMONIDINE,BRIMONIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/2435
BRINZOLAMIDE,BRINZOLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/68844
BRIVARACETAM,BRIVARACETAM,https://pubchem.ncbi.nlm.nih.gov/compound/9837243
BRODALUMAB,BRODALUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101548
BROMAZINE,BROMAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/2444
BROMELAINS,BROMELAINS,https://pubchem.ncbi.nlm.nih.gov/substance/447277102
BROMFENAC,BROMFENAC,https://pubchem.ncbi.nlm.nih.gov/compound/60726
BROMINE,BROMINE,https://pubchem.ncbi.nlm.nih.gov/compound/24408
BROMOCRIPTINE,BROMOCRIPTINE,https://pubchem.ncbi.nlm.nih.gov/compound/31101
BROMPHENIRAMINE,BROMPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6834
BRONOPOL,BRONOPOL,https://pubchem.ncbi.nlm.nih.gov/compound/2450
BRYONIA_ALBA,BRYONIA ALBA,https://pubchem.ncbi.nlm.nih.gov/substance/483927802
BUDESONIDE,BUDESONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5281004
BUMETANIDE,BUMETANIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2471
BUPIVACAINE,BUPIVACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/5816
BUPRENORPHINE,BUPRENORPHINE,https://pubchem.ncbi.nlm.nih.gov/compound/644073
BUPROPION,BUPROPION,https://pubchem.ncbi.nlm.nih.gov/compound/444
BUROSUMAB,BUROSUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101550
BUSPIRONE,BUSPIRONE,https://pubchem.ncbi.nlm.nih.gov/compound/2477
BUSULFAN,BUSULFAN,https://pubchem.ncbi.nlm.nih.gov/compound/2478
BUTALAMINE,BUTALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/30949
BUTALBITAL,BUTALBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2481
BUTENAFINE,BUTENAFINE,https://pubchem.ncbi.nlm.nih.gov/compound/2484
BUTOCONAZOLE,BUTOCONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/47472
BUTORPHANOL,BUTORPHANOL,https://pubchem.ncbi.nlm.nih.gov/compound/5361092
BUTYLATED_HYDROXYANISOLE,BUTYLATED HYDROXYANISOLE,https://pubchem.ncbi.nlm.nih.gov/compound/8456
BUTYLCAINE,BUTYLCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2482
BUTYLHYDROXYTOLUOL,BUTYLHYDROXYTOLUOL,https://pubmed.ncbi.nlm.nih.gov/3125696
BUTYLPARABEN,BUTYLPARABEN,https://pubchem.ncbi.nlm.nih.gov/compound/7184
BUTYROSPERMUM_PARKII,BUTYROSPERMUM PARKII,https://pubchem.ncbi.nlm.nih.gov/substance/482019955
C1_INHIBITOR_(HUMAN),C1 INHIBITOR (HUMAN),https://pubchem.ncbi.nlm.nih.gov/compound/3286
CABAZITAXEL,CABAZITAXEL,https://pubchem.ncbi.nlm.nih.gov/compound/148124
CABERGOLINE,CABERGOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54746
CABOZANTINIB,CABOZANTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/25102847
CACAO_BUTTER,CACAO BUTTER,https://pubchem.ncbi.nlm.nih.gov/substance/481180537
CADEXOMER_IODINE,CADEXOMER IODINE,https://pubchem.ncbi.nlm.nih.gov/substance/135298353
CADE_OIL,CADE OIL,https://pubchem.ncbi.nlm.nih.gov/substance/482028861
CAFFEINE,CAFFEINE,https://pubchem.ncbi.nlm.nih.gov/compound/2519
CAJUPUT,CAJUPUT,https://pubchem.ncbi.nlm.nih.gov/substance/483934535
CALAMINE,CALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3007857
CALASPARGASE_PEGOL,CALASPARGASE PEGOL,https://pubchem.ncbi.nlm.nih.gov/substance/481101553
CALCIFEDIOL,CALCIFEDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5283731
CALCIPOTRIOL,CALCIPOTRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/2116
CALCITONIN_(SALMON),CALCITONIN (SALMON),https://pubchem.ncbi.nlm.nih.gov/compound/16220016
CALCITRIOL,CALCITRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5280453
CALCIUM,CALCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5280795
CALCIUM_FOLINATE,CALCIUM FOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135398658
CALCIUM_LEVOFOLINATE,CALCIUM LEVOFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135402009
CALCIUM_MEFOLINATE,CALCIUM MEFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135742689
CALENDULA_OFFICINALIS,CALENDULA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924236
CALFACTANT,CALFACTANT,https://pubchem.ncbi.nlm.nih.gov/substance/481101554
CAMELLIA_SINENSIS,CAMELLIA SINENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482038428
CAMPESTEROL,CAMPESTEROL,N/A
CAMPHOR,CAMPHOR,https://pubchem.ncbi.nlm.nih.gov/compound/2537
CANAGLIFLOZIN,CANAGLIFLOZIN,https://pubchem.ncbi.nlm.nih.gov/compound/24812758
CANAKINUMAB,CANAKINUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/440790483
CANDESARTAN_CILEXETIL,CANDESARTAN CILEXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/2540
CANDIDA_ALBICANS,CANDIDA ALBICANS,https://pubchem.ncbi.nlm.nih.gov/substance/482038367
CANDIDA_TESTS,CANDIDA TESTS,https://pubchem.ncbi.nlm.nih.gov/bioassay/368251
CANGRELOR,CANGRELOR,https://pubchem.ncbi.nlm.nih.gov/compound/9854012
CANNABIDIOL,CANNABIDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/644019
CANTHARIDES,CANTHARIDES,https://pubchem.ncbi.nlm.nih.gov/compound/5944
CANTHARIDIN,CANTHARIDIN,https://pubchem.ncbi.nlm.nih.gov/compound/5944
CAPECITABINE,CAPECITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/60953
CAPLACIZUMAB,CAPLACIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/483929155
CAPREOMYCIN,CAPREOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/3000502
CAPROMAB,CAPROMAB,https://pubchem.ncbi.nlm.nih.gov/compound/135509147
CAPSAICIN,CAPSAICIN,https://pubchem.ncbi.nlm.nih.gov/compound/1548943
CAPSICUM,CAPSICUM,https://pubchem.ncbi.nlm.nih.gov/compound/1548943
CAPSICUM_OLEORESIN,CAPSICUM OLEORESIN,https://pubchem.ncbi.nlm.nih.gov/compound/1548943
CAPTOPRIL,CAPTOPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/44093
CARALLUMA_FIMBRIATA,CARALLUMA FIMBRIATA,https://pubchem.ncbi.nlm.nih.gov/substance/482038648
CARAMIPHEN,CARAMIPHEN,https://pubchem.ncbi.nlm.nih.gov/compound/6472
CARAPA_GUIANENSIS,CARAPA GUIANENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482038596
CARBACHOL,CARBACHOL,https://pubchem.ncbi.nlm.nih.gov/compound/5831
CARBAMAZEPINE,CARBAMAZEPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2554
CARBENICILLIN,CARBENICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/20824
CARBIDOPA,CARBIDOPA,https://pubchem.ncbi.nlm.nih.gov/compound/6047
CARBINOXAMINE,CARBINOXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2564
CARBITOL,CARBITOL,https://pubchem.ncbi.nlm.nih.gov/compound/5794
CARBOCISTEINE,CARBOCISTEINE,N/A
CARBOHYDRATES,CARBOHYDRATES,https://pubchem.ncbi.nlm.nih.gov/compound/2723872
CARBOMER,CARBOMER,https://pubchem.ncbi.nlm.nih.gov/compound/6581
CARBONIC_ACID,CARBONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/280
CARBONYL_IRON,CARBONYL IRON,https://pubchem.ncbi.nlm.nih.gov/compound/23925
CARBOPLATIN,CARBOPLATIN,https://pubchem.ncbi.nlm.nih.gov/compound/426756
CARBOPROST,CARBOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/31101
CARDIOSPERMUM,CARDIOSPERMUM,https://pubchem.ncbi.nlm.nih.gov/substance/483931051
CARFILZOMIB,CARFILZOMIB,https://pubchem.ncbi.nlm.nih.gov/compound/11556711
CARGLUMIC_ACID,CARGLUMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/121396
CARICA_PAPAYA,CARICA PAPAYA,https://pubchem.ncbi.nlm.nih.gov/compound/5249653
CARINDACILLIN,CARINDACILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/23676503
CARIPRAZINE,CARIPRAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/11154555
CARISOPRODOL,CARISOPRODOL,https://pubchem.ncbi.nlm.nih.gov/compound/2244
CARMELLOSE,CARMELLOSE,https://pubchem.ncbi.nlm.nih.gov/compound/6328154
CARMUSTINE,CARMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2578
CARNAUBA_WAX,CARNAUBA WAX,https://pubchem.ncbi.nlm.nih.gov/compound/47206909
CARNOSINE,CARNOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/439224
CAROTEN,CAROTEN,https://pubchem.ncbi.nlm.nih.gov/compound/5280489
CAROTENOIDS_(UNSPECIFIED),CAROTENOIDS (UNSPECIFIED),https://pubchem.ncbi.nlm.nih.gov/compound/445354
CARTEOLOL,CARTEOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/2583
CARTHAMUS_TINCTORIUS,CARTHAMUS TINCTORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/483935041
CARUM_PETROSELINUM,CARUM PETROSELINUM,https://pubchem.ncbi.nlm.nih.gov/substance/482025350
CARVEDILOL,CARVEDILOL,https://pubchem.ncbi.nlm.nih.gov/compound/2585
CASANTHRANOL,CASANTHRANOL,https://pubchem.ncbi.nlm.nih.gov/compound/2098
CASEIN,CASEIN,https://pubchem.ncbi.nlm.nih.gov/compound/6811
CASPOFUNGIN,CASPOFUNGIN,https://pubchem.ncbi.nlm.nih.gov/compound/2826718
CASTOR_FIBER,CASTOR FIBER,https://pubchem.ncbi.nlm.nih.gov/substance/482037988
CATHETERS,CATHETERS,https://pubchem.ncbi.nlm.nih.gov/bioassay/546731
CATRIDECACOG,CATRIDECACOG,https://pubchem.ncbi.nlm.nih.gov/substance/483929035
CEDAR_WOOD_OIL,CEDAR WOOD OIL,https://pubchem.ncbi.nlm.nih.gov/substance/482028917
CEDRUS_ATLANTICA,CEDRUS ATLANTICA,https://pubchem.ncbi.nlm.nih.gov/substance/482038116
CEFACLOR,CEFACLOR,https://pubchem.ncbi.nlm.nih.gov/compound/51039
CEFADROXIL,CEFADROXIL,https://pubchem.ncbi.nlm.nih.gov/compound/47965
CEFALEXIN,CEFALEXIN,https://pubchem.ncbi.nlm.nih.gov/compound/27447
CEFAMANDOLE,CEFAMANDOLE,https://pubchem.ncbi.nlm.nih.gov/compound/456255
CEFAPIRIN,CEFAPIRIN,https://pubchem.ncbi.nlm.nih.gov/compound/30699
CEFAZOLIN,CEFAZOLIN,https://pubchem.ncbi.nlm.nih.gov/compound/33255
CEFDINIR,CEFDINIR,https://pubchem.ncbi.nlm.nih.gov/compound/6915944
CEFDITOREN_PIVOXIL,CEFDITOREN PIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/6437877
CEFEPIME,CEFEPIME,https://pubchem.ncbi.nlm.nih.gov/compound/5479537
CEFIXIME,CEFIXIME,N/A
CEFMETAZOLE,CEFMETAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/23666711
CEFONICID,CEFONICID,https://pubchem.ncbi.nlm.nih.gov/compound/43594
CEFOPERAZONE,CEFOPERAZONE,https://pubchem.ncbi.nlm.nih.gov/compound/44187
CEFOTAXIME,CEFOTAXIME,https://pubchem.ncbi.nlm.nih.gov/compound/5742673
CEFOTETAN,CEFOTETAN,https://pubchem.ncbi.nlm.nih.gov/compound/53025
CEFOXITIN,CEFOXITIN,https://pubchem.ncbi.nlm.nih.gov/compound/441199
CEFPODOXIME_PROXETIL,CEFPODOXIME PROXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/6526396
CEFPROZIL,CEFPROZIL,https://pubchem.ncbi.nlm.nih.gov/compound/5481173
CEFRADINE,CEFRADINE,https://pubchem.ncbi.nlm.nih.gov/compound/38103
CEFTAROLINE_FOSAMIL,CEFTAROLINE FOSAMIL,https://pubchem.ncbi.nlm.nih.gov/compound/9852981
CEFTAZIDIME,CEFTAZIDIME,https://pubchem.ncbi.nlm.nih.gov/compound/1049
CEFTIBUTEN,CEFTIBUTEN,https://pubchem.ncbi.nlm.nih.gov/compound/5282242
CEFTIZOXIME,CEFTIZOXIME,https://pubchem.ncbi.nlm.nih.gov/compound/6533629
CEFTOLOZANE,CEFTOLOZANE,https://pubchem.ncbi.nlm.nih.gov/compound/71457955
CEFTRIAXONE,CEFTRIAXONE,https://pubchem.ncbi.nlm.nih.gov/compound/5479530
CEFUROXIME,CEFUROXIME,https://pubchem.ncbi.nlm.nih.gov/compound/5479529
CEFUROXIME_AXETIL,CEFUROXIME AXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/5479529
CELECOXIB,CELECOXIB,https://pubchem.ncbi.nlm.nih.gov/compound/2662
CELLULASE,CELLULASE,https://pubchem.ncbi.nlm.nih.gov/compound/440950
CELLULOSE,CELLULOSE,https://pubchem.ncbi.nlm.nih.gov/compound/1031
CEMIPLIMAB,CEMIPLIMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101559
CENTELLA_ASIATICA,CENTELLA ASIATICA,https://pubchem.ncbi.nlm.nih.gov/compound/119034
CEPHAELIS_IPECACUANHA,CEPHAELIS IPECACUANHA,https://pubchem.ncbi.nlm.nih.gov/substance/482038482
CERAMIDE,CERAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5355130
CERITINIB,CERITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/57379345
CERIUM,CERIUM,https://pubchem.ncbi.nlm.nih.gov/compound/6334
CERIVASTATIN,CERIVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/446156
CERLIPONASE_ALFA,CERLIPONASE ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/481101562
