Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS,Compound/Substance
CLOSTRIDIUM_BOTULINUM_TOXIN_TYPE_B,CLOSTRIDIUM BOTULINUM TOXIN TYPE B,https://pubchem.ncbi.nlm.nih.gov/substance/481101828,,,substance
CLOTRIMAZOLE,CLOTRIMAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/2812,23593-75-1,117829-71-7,compound
CLOXACILLIN,CLOXACILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/6098,61-72-3,"50763-55-8, 8056-79-9",compound
CLOXIQUINE,CLOXIQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/2817,130-16-5,,compound
CLOZAPINE,CLOZAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/135398737,5786-21-0,1333667-72-3,compound
CNIDIUM,CNIDIUM,https://pubchem.ncbi.nlm.nih.gov/substance/482036961,,,substance
COAL_TAR,COAL TAR,https://pubchem.ncbi.nlm.nih.gov/compound/31423,129-00-0,76165-23-6,compound
COBALT,COBALT,https://pubchem.ncbi.nlm.nih.gov/compound/697993,149-30-4,"112242-83-8, 119170-41-1, 12640-90-3, 4464-58-8, 55199-93-4, 81605-65-4, 1321-08-0, 2213445-86-2, 885216-62-6, 112242-83-8, 119170-41-1, 12640-90-3, 1321-08-0, 2213445-86-2, 4464-58-8, 55199-93-4, 81605-65-4, 885216-62-6, 12640-90-3, 1321-08-0, 55199-93-4, 119170-41-1, 112242-83-8, 4464-58-8",compound
COBAMAMIDE,COBAMAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/6436143,13870-90-1,,compound
COBICISTAT,COBICISTAT,https://pubchem.ncbi.nlm.nih.gov/compound/25151504,1004316-88-4,,compound
COBIMETINIB,COBIMETINIB,https://pubchem.ncbi.nlm.nih.gov/compound/16222096,934660-93-2,1029872-29-4,compound
COCAINE,COCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/446220,50-36-2,,compound
COCAMIDOPROPYL_BETAINAMIDE_MONOETHANOLAMINE,COCAMIDOPROPYL BETAINAMIDE MONOETHANOLAMINE,,,,MISSING
COCARBOXYLASE,COCARBOXYLASE,https://pubchem.ncbi.nlm.nih.gov/compound/9068,154-87-0,"55056-45-6, 74992-00-0, 902463-63-2, 902463-63-2, 55056-45-6",compound
COCCULUS,COCCULUS,https://pubchem.ncbi.nlm.nih.gov/compound/31304,124-87-8,,compound
COCOS_NUCIFERA,COCOS NUCIFERA,https://pubchem.ncbi.nlm.nih.gov/substance/482037081,,,substance
CODEINE,CODEINE,https://pubchem.ncbi.nlm.nih.gov/compound/2519,58-08-2,"71701-02-5, 95789-13-2, 95789-13-2, 71701-02-5",compound
CODONOPSIS,CODONOPSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482037007,,,substance
COD_LIVER_OIL,COD LIVER OIL,https://pubchem.ncbi.nlm.nih.gov/compound/174,107-21-1,"37221-95-7, 71767-64-1, 1371582-33-0, 2088100-90-5, 849688-22-8, 1371582-33-0, 2088100-90-5, 37221-95-7, 71767-64-1, 71767-64-1, 37221-95-7",compound
COFFEA,COFFEA,https://pubchem.ncbi.nlm.nih.gov/substance/482037113,,,substance
COIX_LACHRYMA-JOBI,COIX LACHRYMA-JOBI,https://pubchem.ncbi.nlm.nih.gov/substance/135327171,,,substance
COLA_ACUMINATA,COLA ACUMINATA,https://pubchem.ncbi.nlm.nih.gov/substance/482037028,,,substance
COLA_NITIDA,COLA NITIDA,https://pubchem.ncbi.nlm.nih.gov/substance/482037033,,,substance
COLCHICINE,COLCHICINE,https://pubchem.ncbi.nlm.nih.gov/compound/6167,64-86-8,"30512-31-3, 5843-86-7, 30512-31-3",compound
COLECALCIFEROL,COLECALCIFEROL,https://pubchem.ncbi.nlm.nih.gov/compound/5280795,67-97-0,"8024-19-9, 8050-67-7, 8050-67-7",compound
COLESEVELAM,COLESEVELAM,https://pubchem.ncbi.nlm.nih.gov/compound/160051,182815-44-7,,compound
COLESTIPOL,COLESTIPOL,https://pubchem.ncbi.nlm.nih.gov/compound/7835,106-89-8,"109351-74-8, 13403-37-7, 36250-81-4, 9009-12-5, 61630-87-3, 209008-81-1, 209008-82-2, 95522-44-4, 117277-19-7, 1286163-93-6, 95522-43-3, 2232867-15-9, 2480253-11-8, 36250-81-4, 109351-74-8, 13403-37-7",compound
COLESTYRAMINE,COLESTYRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/7501,100-42-5,"79637-11-9, 1161074-30-1, 1198090-46-8, 1453489-93-4, 1646200-96-5, 2015955-51-6, 2351150-23-5, 2576469-81-1, 1161074-30-1, 1198090-46-8, 1453489-93-4, 1646200-96-5, 2015955-51-6, 2351150-23-5, 2576469-81-1, 2706608-32-2, 79637-11-9, 79637-11-9, 1198090-46-8, 1453489-93-4",compound
COLEUS_FORSKOHLII,COLEUS FORSKOHLII,https://pubchem.ncbi.nlm.nih.gov/compound/47936,66575-29-9,"72569-68-7, 64657-11-0",compound
COLFOSCERIL_PALMITATE,COLFOSCERIL PALMITATE,https://pubchem.ncbi.nlm.nih.gov/compound/452110,63-89-8,875249-75-5,compound
COLISTIN,COLISTIN,https://pubchem.ncbi.nlm.nih.gov/compound/5311054,1066-17-7,,compound
COLLAGEN,COLLAGEN,https://pubchem.ncbi.nlm.nih.gov/compound/2474,38396-39-3,2180-92-9,compound
COLLAGENASE,COLLAGENASE,https://pubchem.ncbi.nlm.nih.gov/compound/17059,2429-74-5,"120146-64-7, 51568-94-6, 95032-75-0, 51568-94-6, 95032-75-0",compound
COLLAGENASE_CLOSTRIDIUM_HISTOLYTICUM,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,https://pubchem.ncbi.nlm.nih.gov/compound/18680304,955089-04-0,,compound
COLLODIONS,COLLODIONS,https://pubmed.ncbi.nlm.nih.gov/21168569,,,MISSING
COLOSTRUM,COLOSTRUM,https://pubchem.ncbi.nlm.nih.gov/compound/5116708,18409-15-9,,compound
COMMIPHORA_MOLMOL,COMMIPHORA MOLMOL,https://pubchem.ncbi.nlm.nih.gov/substance/482036528,,,substance
COMMIPHORA_WIGHTII,COMMIPHORA WIGHTII,https://pubchem.ncbi.nlm.nih.gov/substance/482036497,,,substance
COMPOSITION_UNKNOWN,COMPOSITION UNKNOWN,https://pubchem.ncbi.nlm.nih.gov/bioassay/1864336,,,MISSING
CONDOMS,CONDOMS,https://pubchem.ncbi.nlm.nih.gov/bioassay/1666861,,,MISSING
CONESTAT_ALFA,CONESTAT ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/483928193,,,substance
CONIUM_MACULATUM,CONIUM MACULATUM,https://pubchem.ncbi.nlm.nih.gov/substance/483935559,,,substance
CONIVAPTAN,CONIVAPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/216322,168626-94-6,,compound
CONTRACEPTIVE_DEVICES,CONTRACEPTIVE DEVICES,https://pubchem.ncbi.nlm.nih.gov/substance/381128904,,,substance
COOLING_PAD,COOLING PAD,https://pubchem.ncbi.nlm.nih.gov/compound/338,69-72-7,"7681-06-3, 8052-31-1, 1186130-36-8, 1186130-36-8, 7681-06-3, 8052-31-1, 8052-31-1, 1186130-36-8",compound
COPANLISIB,COPANLISIB,https://pubchem.ncbi.nlm.nih.gov/compound/135565596,1032568-63-0,,compound
COPPER,COPPER,https://pubchem.ncbi.nlm.nih.gov/compound/697993,149-30-4,"112242-83-8, 119170-41-1, 12640-90-3, 4464-58-8, 55199-93-4, 81605-65-4, 1321-08-0, 2213445-86-2, 885216-62-6, 112242-83-8, 119170-41-1, 12640-90-3, 1321-08-0, 2213445-86-2, 4464-58-8, 55199-93-4, 81605-65-4, 885216-62-6, 12640-90-3, 1321-08-0, 55199-93-4, 119170-41-1, 112242-83-8, 4464-58-8",compound
CORBADRINE,CORBADRINE,https://pubchem.ncbi.nlm.nih.gov/compound/164739,829-74-3,"13725-11-6, 16906-83-5, 34535-70-1",compound
CORDIA_SALICIFOLIA,CORDIA SALICIFOLIA,https://pubchem.ncbi.nlm.nih.gov/substance/482036743,,,substance
CORDYCEPS_SINENSIS_SACC,CORDYCEPS SINENSIS SACC,https://pubchem.ncbi.nlm.nih.gov/substance/135302631,,,substance
CORIANDRUM_SATIVUM,CORIANDRUM SATIVUM,https://pubchem.ncbi.nlm.nih.gov/substance/486327351,,,substance
CORTICORELIN,CORTICORELIN,https://pubchem.ncbi.nlm.nih.gov/compound/16132344,79804-71-0,178359-01-8,compound
CORTICOTROPIN,CORTICOTROPIN,https://pubchem.ncbi.nlm.nih.gov/compound/16132265,9002-60-2,11002-79-2,compound
CORTISONE,CORTISONE,https://pubchem.ncbi.nlm.nih.gov/compound/5865,53-03-2,68-59-7,compound
CORYLUS_AVELLANA,CORYLUS AVELLANA,https://pubchem.ncbi.nlm.nih.gov/substance/483929244,,,substance
CORYNEBACTERIUM_DIPHTHERIAE_TOXIN,CORYNEBACTERIUM DIPHTHERIAE TOXIN,https://pubchem.ncbi.nlm.nih.gov/compound/135314880,,,compound
COUGH_AND_COLD_PREPARATIONS,COUGH AND COLD PREPARATIONS,https://pubchem.ncbi.nlm.nih.gov/compound/460,90-05-1,,compound
CRATAEGUS_LAEVIGATA,CRATAEGUS LAEVIGATA,https://pubchem.ncbi.nlm.nih.gov/substance/482036302,,,substance
CREAMS_(BASIS),CREAMS (BASIS),https://pubmed.ncbi.nlm.nih.gov/9379351,,,MISSING
CREATINE,CREATINE,https://pubchem.ncbi.nlm.nih.gov/compound/586,57-00-1,2087491-49-2,compound
CREATININE,CREATININE,https://pubchem.ncbi.nlm.nih.gov/compound/588,60-27-5,,compound
CREOSOTE,CREOSOTE,https://pubchem.ncbi.nlm.nih.gov/compound/460,90-05-1,,compound
CRISABOROLE,CRISABOROLE,https://pubchem.ncbi.nlm.nih.gov/compound/44591583,906673-24-3,"1187189-21-4, 1073669-75-6",compound
CRIZOTINIB,CRIZOTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/11626560,877399-52-5,912279-98-2,compound
CROFELEMER,CROFELEMER,https://pubchem.ncbi.nlm.nih.gov/substance/482240043,,,substance
CROMOGLICIC_ACID,CROMOGLICIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2882,16110-51-3,,compound
CROTALUS_HORRIDUS,CROTALUS HORRIDUS,https://pubchem.ncbi.nlm.nih.gov/substance/483930769,,,substance
CROTAMITON,CROTAMITON,https://pubchem.ncbi.nlm.nih.gov/compound/688020,124236-29-9,,compound
CRYOFLUORANE,CRYOFLUORANE,https://pubchem.ncbi.nlm.nih.gov/compound/6429,76-14-2; 1320-37-2(mixedisomers),,compound
CRYPTHECODINIUM_COHNII,CRYPTHECODINIUM COHNII,https://pubchem.ncbi.nlm.nih.gov/substance/482036428,,,substance
CRYPTOXANTHIN,CRYPTOXANTHIN,https://pubchem.ncbi.nlm.nih.gov/compound/5281235,472-70-8,,compound
CRYSTAL_VIOLET,CRYSTAL VIOLET,https://pubchem.ncbi.nlm.nih.gov/compound/11057,548-62-9,"23355-47-7, 7077-31-8, 7077-31-8",compound
CUCUMIS_SATIVUS,CUCUMIS SATIVUS,https://pubchem.ncbi.nlm.nih.gov/compound/24721411,,,compound
CUCURBITA_PEPO,CUCURBITA PEPO,https://pubchem.ncbi.nlm.nih.gov/substance/482036388,,,substance
CUPRESSUS_SEMPERVIRENS,CUPRESSUS SEMPERVIRENS,https://pubchem.ncbi.nlm.nih.gov/substance/482035919,,,substance
CURCUMA_LONGA,CURCUMA LONGA,https://pubchem.ncbi.nlm.nih.gov/compound/969516,458-37-7,"15845-47-3, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 2103286-06-0, 15845-47-3, 2103286-06-0, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 73729-23-4, 33171-04-9, 91884-86-5, 15845-47-3, 79257-48-0",compound
CURCUMIN,CURCUMIN,https://pubchem.ncbi.nlm.nih.gov/compound/969516,458-37-7,"15845-47-3, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 2103286-06-0, 15845-47-3, 2103286-06-0, 33171-04-9, 73729-23-4, 79257-48-0, 91884-86-5, 73729-23-4, 33171-04-9, 91884-86-5, 15845-47-3, 79257-48-0",compound
CYANOCOBALAMIN,CYANOCOBALAMIN,https://pubchem.ncbi.nlm.nih.gov/compound/5311498,68-19-9,"11037-08-4, 24436-34-8, 8023-26-5, 8039-03-0",compound
CYCLANDELATE,CYCLANDELATE,https://pubchem.ncbi.nlm.nih.gov/compound/2893,456-59-7,"28283-32-1, 54110-27-9, 28283-32-1",compound
CYCLIZINE,CYCLIZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6726,82-92-8,,compound
CYCLOBENZAPRINE,CYCLOBENZAPRINE,https://pubchem.ncbi.nlm.nih.gov/compound/2895,303-53-7,,compound
CYCLOMETHICONE,CYCLOMETHICONE,https://pubchem.ncbi.nlm.nih.gov/compound/10913,541-02-6,,compound
CYCLOPENTASILOXANE,CYCLOPENTASILOXANE,https://pubchem.ncbi.nlm.nih.gov/compound/10913,541-02-6,,compound
CYCLOPENTOLATE,CYCLOPENTOLATE,https://pubchem.ncbi.nlm.nih.gov/compound/2905,512-15-2,,compound
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/2907,50-18-0,"60007-95-6, 75526-90-8, 60007-95-6",compound
CYCLOSERINE,CYCLOSERINE,https://pubchem.ncbi.nlm.nih.gov/compound/6234,68-41-7,,compound
CYNARA_SCOLYMUS,CYNARA SCOLYMUS,https://pubchem.ncbi.nlm.nih.gov/substance/483934221,,,substance
CYPROHEPTADINE,CYPROHEPTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/2913,129-03-3,,compound
CYSTEINE,CYSTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/5862,52-90-4,"4371-52-2, 154605-72-8, 1404190-35-7, 1404190-35-7, 154605-72-8, 4371-52-2, 4371-52-2, 154605-72-8",compound
CYSTINE,CYSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/5862,52-90-4,"4371-52-2, 154605-72-8, 1404190-35-7, 1404190-35-7, 154605-72-8, 4371-52-2, 4371-52-2, 154605-72-8",compound
CYSTOSEIRA_CANARIENSIS,CYSTOSEIRA CANARIENSIS,https://pubmed.ncbi.nlm.nih.gov/14570155,,,MISSING
CYTARABINE,CYTARABINE,https://pubchem.ncbi.nlm.nih.gov/compound/6253,147-94-4,,compound
D-LACTIC_ACID,D-LACTIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/61503,10326-41-7,,compound
DABIGATRAN_ETEXILATE,DABIGATRAN ETEXILATE,https://pubchem.ncbi.nlm.nih.gov/compound/135565674,211915-06-9,,compound
DABRAFENIB,DABRAFENIB,https://pubchem.ncbi.nlm.nih.gov/compound/44462760,1195765-45-7,,compound
DACARBAZINE,DACARBAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/674,124-40-3,,compound
DACLATASVIR,DACLATASVIR,https://pubchem.ncbi.nlm.nih.gov/compound/25154714,1009119-64-5,,compound
DACLIZUMAB,DACLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101586,,,substance
DACOMITINIB,DACOMITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/11511120,1110813-31-4,1006885-28-4,compound
DACTINOMYCIN,DACTINOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/457193,50-76-0,"1421227-25-9, 1402-58-0",compound
DACTYLIS_GLOMERATA,DACTYLIS GLOMERATA,https://pubchem.ncbi.nlm.nih.gov/substance/483932145,,,substance
DACTYLOPIUS_COCCUS,DACTYLOPIUS COCCUS,https://pubchem.ncbi.nlm.nih.gov/substance/482037044,,,substance
DALBAVANCIN,DALBAVANCIN,https://pubchem.ncbi.nlm.nih.gov/compound/16134627,171500-79-1,247175-55-9,compound
DALFOPRISTIN,DALFOPRISTIN,https://pubchem.ncbi.nlm.nih.gov/compound/6323289,112362-50-2,,compound
DALTEPARIN_SODIUM,DALTEPARIN SODIUM,https://pubchem.ncbi.nlm.nih.gov/substance/440790513,,,substance
DAMOCTOCOG_ALFA_PEGOL,DAMOCTOCOG ALFA PEGOL,https://pubchem.ncbi.nlm.nih.gov/compound/86278352,1363853-26-2,,compound
DANAPAROID,DANAPAROID,https://pubchem.ncbi.nlm.nih.gov/substance/7979021,,,substance
DANAZOL,DANAZOL,https://pubchem.ncbi.nlm.nih.gov/compound/28417,17230-88-5,,compound
DANTROLENE,DANTROLENE,https://pubchem.ncbi.nlm.nih.gov/compound/6914273,7261-97-4,833480-90-3,compound
DANTRON,DANTRON,https://pubchem.ncbi.nlm.nih.gov/compound/2950,117-10-2,"32073-07-7, 343235-40-5",compound
DAPAGLIFLOZIN,DAPAGLIFLOZIN,https://pubchem.ncbi.nlm.nih.gov/compound/9887712,461432-26-8,,compound
DAPIPRAZOLE,DAPIPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/3033538,72822-12-9,,compound
DAPSONE,DAPSONE,https://pubchem.ncbi.nlm.nih.gov/compound/2955,80-08-0,1246638-15-2,compound
DAPTOMYCIN,DAPTOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/21585658,103060-53-3,,compound
DARATUMUMAB,DARATUMUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469691026,,,substance
DARBEPOETIN_ALFA,DARBEPOETIN ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/440790648,,,substance
DARIFENACIN,DARIFENACIN,https://pubchem.ncbi.nlm.nih.gov/compound/444031,133099-04-4,,compound
DARUNAVIR,DARUNAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/213039,206361-99-1,"618109-00-5, 1097732-88-1",compound
DASABUVIR,DASABUVIR,https://pubchem.ncbi.nlm.nih.gov/compound/56640146,1132935-63-7,1221573-79-0,compound
DASATINIB,DASATINIB,https://pubchem.ncbi.nlm.nih.gov/compound/3062316,302962-49-8,,compound
DAUCUS_CAROTA,DAUCUS CAROTA,https://pubchem.ncbi.nlm.nih.gov/substance/482038571,,,substance
DAUNORUBICIN,DAUNORUBICIN,https://pubchem.ncbi.nlm.nih.gov/compound/171548,58-85-5,"15720-24-8, 22879-79-4, 3672-05-7, 58073-87-3",compound
DEANOL,DEANOL,https://pubchem.ncbi.nlm.nih.gov/compound/7902,108-01-0,"116134-09-9, 156681-25-3, 1404326-81-3, 116134-09-9, 1404326-81-3, 156681-25-3, 116134-09-9",compound
DECANOIC_ACID,DECANOIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2969,334-48-5,,compound
DECITABINE,DECITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/451668,2353-33-5,"123795-43-7, 105597-46-4",compound
DECONGESTANT_RUBS,DECONGESTANT RUBS,,,,MISSING
DEFERASIROX,DEFERASIROX,https://pubchem.ncbi.nlm.nih.gov/compound/214348,201530-41-8,,compound
DEFERIPRONE,DEFERIPRONE,https://pubchem.ncbi.nlm.nih.gov/compound/8369,118-71-8,,compound
DEFEROXAMINE,DEFEROXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2973,70-51-9,7278-84-4,compound
DEFIBROTIDE,DEFIBROTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/135565962,83712-60-1,,compound
DEFLAZACORT,DEFLAZACORT,https://pubchem.ncbi.nlm.nih.gov/compound/189821,14484-47-0,74712-90-6,compound
DEGARELIX,DEGARELIX,https://pubchem.ncbi.nlm.nih.gov/compound/16136245,214766-78-6,,compound
DELAFLOXACIN,DELAFLOXACIN,https://pubchem.ncbi.nlm.nih.gov/compound/487101,189279-58-1,579508-20-6,compound
DELAVIRDINE,DELAVIRDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5625,136817-59-9,,compound
DEMECARIUM,DEMECARIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5965,56-94-0,,compound
DEMECLOCYCLINE,DEMECLOCYCLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54680690,127-33-3,"8059-70-9, 16204-02-7",compound
DENILEUKIN_DIFTITOX,DENILEUKIN DIFTITOX,https://pubchem.ncbi.nlm.nih.gov/substance/440791103,,,substance
DENOSUMAB,DENOSUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469691031,,,substance
DENTAL_FLOSS,DENTAL FLOSS,https://pubchem.ncbi.nlm.nih.gov/compound/24266,7631-97-2,,compound
DENTURE_POWDER,DENTURE POWDER,https://pubmed.ncbi.nlm.nih.gov/30975019,,,MISSING
DEOXYCHOLIC_ACID,DEOXYCHOLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/222528,83-44-3,728917-93-9,compound
DEOXYRIBONUCLEASE-_NATURAL,DEOXYRIBONUCLEASE- NATURAL,https://pubchem.ncbi.nlm.nih.gov/bioassay/287936,,,MISSING
DERMAGRAFT-TC,DERMAGRAFT-TC,https://pubmed.ncbi.nlm.nih.gov/9063788,,,MISSING
DERMATOPHAGOIDES_FARINAE,DERMATOPHAGOIDES FARINAE,https://pubchem.ncbi.nlm.nih.gov/substance/483935755,,,substance
DERMATOPHAGOIDES_PTERONYSSINUS,DERMATOPHAGOIDES PTERONYSSINUS,https://pubchem.ncbi.nlm.nih.gov/substance/483935755,,,substance
DESERPIDINE,DESERPIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/8550,131-01-1,,compound
DESFLURANE,DESFLURANE,https://pubchem.ncbi.nlm.nih.gov/compound/180,67-64-1,,compound
DESIPRAMINE,DESIPRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2995,50-47-5,,compound
DESIRUDIN,DESIRUDIN,https://pubchem.ncbi.nlm.nih.gov/compound/16129703,120993-53-5,,compound
DESLORATADINE,DESLORATADINE,https://pubchem.ncbi.nlm.nih.gov/compound/124087,100643-71-8,,compound
DESMOPRESSIN,DESMOPRESSIN,https://pubchem.ncbi.nlm.nih.gov/compound/5311065,16679-58-6,,compound
DESOGESTREL,DESOGESTREL,https://pubchem.ncbi.nlm.nih.gov/compound/40973,54024-22-5,,compound
DESONIDE,DESONIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5311066,638-94-8,,compound
DESOXIMETASONE,DESOXIMETASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311067,140218-14-0,,compound
DESVENLAFAXINE,DESVENLAFAXINE,https://pubchem.ncbi.nlm.nih.gov/compound/125017,93413-62-8,,compound
DEUTETRABENAZINE,DEUTETRABENAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/6018,718635-93-9,,compound
DEXAMETHASONE,DEXAMETHASONE,https://pubchem.ncbi.nlm.nih.gov/compound/5743,50-02-2,"137098-19-2, 8054-59-9, 906422-84-2, 1050677-47-8, 906362-70-7, 1050677-47-8, 137098-19-2, 8054-59-9, 906362-70-7, 906422-84-2, 8054-59-9, 137098-19-2, 1050677-47-8, 906422-84-2",compound
DEXAMFETAMINE,DEXAMFETAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/5826,51-64-9,,compound
DEXBROMPHENIRAMINE,DEXBROMPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/6834,86-22-6,"156428-33-0, 32188-07-1, 32188-07-1",compound
DEXCHLORPHENIRAMINE,DEXCHLORPHENIRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/33036,25523-97-1,"301-24-6, 12167-38-3",compound
DEXLANSOPRAZOLE,DEXLANSOPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/9578005,138530-94-6,,compound
DEXMEDETOMIDINE,DEXMEDETOMIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/5311068,113775-47-6,,compound
DEXMETHYLPHENIDATE,DEXMETHYLPHENIDATE,https://pubchem.ncbi.nlm.nih.gov/compound/154101,40431-64-9,,compound
DEXPANTHENOL,DEXPANTHENOL,https://pubchem.ncbi.nlm.nih.gov/compound/131204,81-13-0,"1113-70-8, 17307-32-3, 50584-68-4, 17307-32-3",compound
DEXRAZOXANE,DEXRAZOXANE,https://pubchem.ncbi.nlm.nih.gov/compound/71384,24584-09-6,,compound
DEXTRAN,DEXTRAN,https://pubchem.ncbi.nlm.nih.gov/compound/4125253,9004-54-0,"11104-36-2, 11121-03-2, 12626-85-6, 128635-03-0, 1307300-43-1, 1415795-13-9, 37224-17-2, 60454-72-0, 86280-85-5, 9013-80-3, 9044-66-0, 911319-01-2",compound
DEXTRANOMER,DEXTRANOMER,https://pubchem.ncbi.nlm.nih.gov/substance/472674632,,,substance
DEXTRIN,DEXTRIN,https://pubchem.ncbi.nlm.nih.gov/compound/444041,7585-39-9,"37331-89-8, 47918-72-9, 449728-55-6, 1187028-35-8, 1269982-56-0, 1532526-96-7, 1714824-77-7, 896437-63-1, 1187028-35-8, 1269982-56-0, 1532526-96-7, 1714824-77-7, 2569195-37-3, 2592632-33-0, 37331-89-8, 449728-55-6, 47918-72-9, 896437-63-1, 1187028-35-8, 37331-89-8, 1269982-56-0, 449728-55-6",compound
DEXTROMETHORPHAN,DEXTROMETHORPHAN,https://pubchem.ncbi.nlm.nih.gov/compound/5360696,125-71-3,"18046-32-7, 32062-10-5, 1469752-79-1, 32062-10-5",compound
DEXTROPROPOXYPHENE,DEXTROPROPOXYPHENE,https://pubchem.ncbi.nlm.nih.gov/compound/10100,469-62-5,"21086-94-2, 3818-94-8, 3818-94-8",compound
DEXTROTHYROXINE,DEXTROTHYROXINE,https://pubchem.ncbi.nlm.nih.gov/compound/8730,51-49-0,,compound
DIAGNOSTIC_COLON_IMAGING_AGENT,DIAGNOSTIC COLON IMAGING AGENT,https://pubchem.ncbi.nlm.nih.gov/bioassay/738689,,,MISSING
DIASTASE,DIASTASE,https://pubchem.ncbi.nlm.nih.gov/substance/49869225,,,substance
DIATRIZOIC_ACID,DIATRIZOIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/2140,117-96-4,,compound
DIAZEPAM,DIAZEPAM,https://pubchem.ncbi.nlm.nih.gov/compound/3016,439-14-5,"11100-37-1, 53320-84-6",compound
DIAZOLIDINYL_UREA,DIAZOLIDINYL UREA,https://pubchem.ncbi.nlm.nih.gov/compound/62277,78491-02-8,,compound
DIAZOXIDE,DIAZOXIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3019,364-98-7,1342899-70-0,compound
DICHLORALPHENAZONE,DICHLORALPHENAZONE,https://pubchem.ncbi.nlm.nih.gov/compound/10188,480-30-8,,compound
DICHLOROACETIC_ACID,DICHLOROACETIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/6597,79-43-6,42428-47-7,compound
DICHLORODIFLUORO-METHANE,DICHLORODIFLUORO-METHANE,https://pubchem.ncbi.nlm.nih.gov/compound/6391,75-71-8,"185009-39-6, 62185-71-1, 1256919-17-1, 1256919-17-1, 185009-39-6, 62185-71-1",compound
DICLOFENAC,DICLOFENAC,https://pubchem.ncbi.nlm.nih.gov/compound/3033,15307-86-5,,compound
DICLOFENAMIDE,DICLOFENAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3038,120-97-8,,compound
DICLOXACILLIN,DICLOXACILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/18381,3116-76-5,,compound
DICOUMAROL,DICOUMAROL,https://pubchem.ncbi.nlm.nih.gov/compound/54676038,66-76-2,,compound
DICYCLOVERINE,DICYCLOVERINE,https://pubchem.ncbi.nlm.nih.gov/compound/3042,77-19-0,"104959-55-9, 856995-49-8, 104959-55-9",compound
