,CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
179,11041-12-6,https://drugs.ncats.io/drug/4B33BGI082,US Approved Rx 2020,ANDA209599,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209599,US Previously Marketed 1964,Cuemid by Merck Sharp & Dohme,DeHaen 1940-1975 NMEs,,
180,16110-51-3,https://drugs.ncats.io/drug/Y0TK0FS77W,US Approved Rx 2000,ANDA075271,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075271,US Previously Marketed 1973,INTAL by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016990,Asthma; Allergic rhinitis; Allergic conjunctivitis; Mastocytosis; Allergic rhinitis; Vernal keratoconjunctivitis; Bronchial asthma,Approved; Approved; Approved; Approved; Approved; Approved; Approved
181,124236-29-9,https://drugs.ncats.io/drug/2EEH27851Y,US Approved Rx 1955,NDA009112,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=009112,US Previously Marketed 1949,EURAX by JOURNEY,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006927,Unknown; Pruritus; Scabies,Approved; Approved
182,76-14-2,https://drugs.ncats.io/drug/6B5VVT93AR,Clinical ,INN:cryofluorane,https://tripod.nih.gov/npc/#Download,,,,,
183,472-70-8,https://drugs.ncats.io/drug/6ZIB13GI33,Clinical 2014,NCT02065024: Phase 1 Interventional Completed Hypercholesterolemia,https://clinicaltrials.gov/ct2/show/NCT02065024,,,,,
184,548-62-9,https://drugs.ncats.io/drug/J4Z741D6O5,US Previously Marketed 1977,GENAPAX by KEY PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=085017,US Previously Marketed 1921,gentian violet,https://catalog.hathitrust.org/Record/100163146,Fungal infection; Bacterial infections,Approved; Approved
185,458-37-7,https://drugs.ncats.io/drug/IT942ZTH98,Possibly Marketed Outside US ,Kaydia Patch by Strong Current Enterprises Limited,https://www.drugbank.ca/drugs/DB11672,Possibly Marketed Outside US 2009,21 CFR 348,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0fdc9bac-a0c4-4a8f-a36d-1a113b5bfa6d,Asthma; Schizophrenia; Mucositis; Colon cancer; Prostate cancer,Not Provided; Preclinical; Phase II; Phase I; Phase III
186,458-37-7,https://drugs.ncats.io/drug/IT942ZTH98,Possibly Marketed Outside US ,Kaydia Patch by Strong Current Enterprises Limited,https://www.drugbank.ca/drugs/DB11672,Possibly Marketed Outside US 2009,21 CFR 348,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0fdc9bac-a0c4-4a8f-a36d-1a113b5bfa6d,Asthma; Schizophrenia; Mucositis; Colon cancer; Prostate cancer,Not Provided; Preclinical; Phase II; Phase I; Phase III
187,68-19-9,https://drugs.ncats.io/drug/P6YC3EG204,US Approved Rx 2020,ANDA213874,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213874,US Previously Marketed 1947,BEROCCA PN by ROCHE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006071,Folic acid deficiency; Malignancy of pancreas or bowel; Fish tapeworm infestation; Addisonian (pernicious) anemia,Approved; Approved; Approved; Approved
188,456-59-7,https://drugs.ncats.io/drug/4139O1OAY2,US Previously Marketed 1958,Cyclospasmol by Ives-Cameron (Ives),OB NME Appendix 1950-1985,US Previously Marketed 1958,Cyclospasmol by Ives-Cameron (Ives),OB NME Appendix 1950-1985,Intermittent claudication; Alzheimer’s disease,Approved; Approved
189,82-92-8,https://drugs.ncats.io/drug/QRW9FCR9P2,US Approved OTC ,21 CFR 336.10(a) antiemetic cyclizine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec336-10.xml,US Previously Marketed 1953,Marezine by Burroughs Wellcome,OB NME Appendix 1950-1985,Motion sickness; Vomiting associated with radiotherapy; Postoperative nausea and vomiting,Approved; Approved; Approved
190,93413-62-8,https://drugs.ncats.io/drug/NG99554ANW,US Approved Rx 2018,ANDA210014,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210014,US Approved Rx 2008,NDA021992,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021992,Major depressive disorder,Approved
191,1392826-25-3,https://drugs.ncats.io/drug/P341G6W9NB,US Approved Rx 2017,NDA209885,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209885,US Approved Rx 2017,NDA209885,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209885,Huntington's disease; Tardive dyskinesia,Approved; Approved
192,50-02-2,https://drugs.ncats.io/drug/7S5I7G3JQL,US Approved Rx 2020,ANDA210966,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210966,US Previously Marketed 1958,DECADRON by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011664,Cyclitis; Iritis; Herpes zoster keratitis; Allergic conjunctivitis; Acne rosacea; Superficial punctate keratitis; Corneal injury; Bacterial conjunctivitis; Multiple myeloma,Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved
193,51-64-9,https://drugs.ncats.io/drug/TZ47U051FI,US Approved Rx 1976,NDA017078,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017078,US Previously Marketed 1937,Dexedrine by Smith Kline French,https://web.archive.org/web/20091219120223/http://www.medic8.com/medicines/Dexedrine.html,Attention deficit hyperactivity disorder; Moderate to severe binge eating disorder; Attention deficit hyperactivity disorder,Approved; Approved; Approved
194,132-21-8,https://drugs.ncats.io/drug/75T64B71RP,US Approved OTC ,21 CFR 341.12(d) cough/cold:antihistamine dexbromopheniramine maleate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-12.xml,US Previously Marketed 1959,Disomer by White (Schering),DeHaen 1940-1975 NMEs,Common cold; Allergic rhinitis,Approved; Approved
195,25523-97-1,https://drugs.ncats.io/drug/3Q9Q0B929N,US Approved OTC ,21 CFR 341.12(e) cough/cold:antihistamine dexchlorpheniramine maleate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-12.xml,US Previously Marketed 1958,Polaramine by Schering,DeHaen 1940-1975 NMEs,Allergy,Approved
196,138530-94-6,https://drugs.ncats.io/drug/UYE4T5I70X,US Approved Rx 2012,ANDA202176,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202176,US Approved Rx 1995,NDA020406,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020406,Active duodenal ulcer; Gastric ulcer; Gastroesophageal reflux disease; Erosive esophagitis; Heartburn; Gastroesophageal reflux disease; Active duodenal ulcer; Gastric ulcer,Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved
197,113775-47-6,https://drugs.ncats.io/drug/67VB76HONO,US Approved Rx 2018,ANDA206798,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206798,US Approved Rx 1999,NDA021038,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021038,Pain,Approved
198,40431-64-9,https://drugs.ncats.io/drug/M32RH9MFGP,US Approved Rx 2015,ANDA201231,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201231,US Approved Rx 2001,NDA021278,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021278,Attention deficit hyperactivity disorder,Approved
199,81-13-0,https://drugs.ncats.io/drug/1O6C93RI7Z,US Approved Rx 2000,NDA021163,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021163,US Previously Marketed 1947,BEROCCA PN by ROCHE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006071,Skin moisturizer; SUNBURN,Basic research; Approved
200,24584-09-6,https://drugs.ncats.io/drug/048L81261F,US Approved Rx 2011,ANDA200752,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=200752,US Previously Marketed 1995,Zinecard,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=20212,Breast cancer,Approved
201,9004-54-0,https://drugs.ncats.io/drug/ZNJ8R24I7Z,,,,,,,,
202,56087-11-7,https://drugs.ncats.io/drug/30KXI0TVD3,Possibly Marketed Outside US ,WHO-ATC:D03AX02,https://ginas.ncats.nih.gov/ginas/app/substance/30KXI0TVD3,,,,,
203,9004-53-9,https://drugs.ncats.io/drug/ODU3ZAZ94J,US Approved Rx 2023,NDA216386,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216386,US Approved Rx 2023,NDA216386,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216386,,
204,125-71-3,https://drugs.ncats.io/drug/7355X3ROTS,US Approved OTC ,21 CFR 341.14(a)(4) cough/cold:antitussive dextromethorphan hydrobromide,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-14.xml,US Previously Marketed 1954,Romilar by Hoffmann-La Roche,OB NME Appendix 1950-1985,Cough; Pseudobulbar affect,Approved; Approved
205,469-62-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
206,51-49-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
207,117-96-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
208,439-14-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
209,78491-02-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
210,364-98-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
211,480-30-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
212,79-43-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
213,75-71-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
214,15307-86-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
215,120-97-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216,3116-76-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
217,66-76-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
218,77-19-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
219,69655-05-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
220,13029-44-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
221,65928-58-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
222,56-53-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
223,134-62-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
224,28782-42-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
225,2557-49-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
226,22494-42-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
227,23674-86-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
228,71-63-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
229,20830-75-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
230,125-28-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231,1847-58-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
232,115256-11-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
233,115956-12-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
234,60937-55-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
235,1051375-16-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
236,13900-14-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
237,57808-66-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
238,120014-06-4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
239,51-61-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
240,864821-90-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
241,697761-98-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
242,1709815-23-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
243,87233-61-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
244,1610943-06-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
245,56-81-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
246,864070-44-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
247,143491-57-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
248,75847-73-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
249,76420-72-9,https://drugs.ncats.io/drug/Q508Q118JM,US Approved Rx 2001,ANDA075727,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075727,US Approved Rx 1985,NDA018998,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018998,Hypertension; Asymptomatic left ventricular dysfunction; Heart failure,Approved; Approved; Approved
250,1446502-11-9,https://drugs.ncats.io/drug/3T1SS4E7AG,US Approved Rx 2017,NDA209606,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209606,US Approved Rx 2017,NDA209606,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209606,Acute myeloid leukemia; acute myeloid leukemia,Phase III; Approved
251,1269440-17-6,https://drugs.ncats.io/drug/8L7891MRB6,US Approved Rx 2018,NDA210496,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210496,US Approved Rx 2018,NDA210496,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210496,Melanoma; Metastatic colorectal cancer; Relapsed or refractory multiple myeloma,Approved; Phase III; Phase II
252,13838-16-9,https://drugs.ncats.io/drug/91I69L5AY5,US Previously Marketed 1987,ENFLURANE by ABBOTT,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070803,US Previously Marketed 1972,ETHRANE by BAXTER HLTHCARE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=017087,Pain,Approved
253,159519-65-0,https://drugs.ncats.io/drug/19OWO1T3ZE,US Approved Rx 2003,NDA021481,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021481,US Approved Rx 2003,NDA021481,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021481,HIV-1 infection,Approved
254,74011-58-8,https://drugs.ncats.io/drug/325OGW249P,US Previously Marketed 1991,PENETREX by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019616,US Previously Marketed 1991,PENETREX by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019616,"Uncomplicated urethral or cervical gonorrhea due to Neisseria gonorrhoeae.; Complicated urinary tract infections; Uncomplicated urinary tract infections (cystitis) due to Escherichia coli, Staphylococcus epidermidis, or Staphylococcus saprophyticus",Approved; Approved; Approved
255,679809-58-6,https://drugs.ncats.io/drug/8NZ41MIK1O,US Approved Rx 2014,ANDA076726,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076726,US Approved Rx 1993,NDA020164,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020164,Deep vein thrombosis; Myocardial infarction; Unstable angina,Approved; Approved; Approved
256,471-53-4,https://drugs.ncats.io/drug/P540XA09DR,US Previously Marketed 1921,Ammoniated Glycyrrhizin U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Ammoniated Glycyrrhizin U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Hepatitis B; Autoimmune hepatitis; Chronic hepatitis C; Chronic hepatitis C; Erythema; Cardiomyopathy; Autoimmune hepatitis; Ovarian cancer; Radiodermatitis; Leukemia; Unknown; Unknown; Inflammation,Not Provided; Phase I; Not Provided; Approved; Phase I; Preclinical; Phase I; Basic research; Basic research; Basic research; Basic research
257,93106-60-6,https://drugs.ncats.io/drug/3DX3XEK1BN,Possibly Marketed Outside US ,Canada:ENROFLOXACIN,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 1988,NADA140441,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e6228e80-a92a-4c24-8a0b-10bd0aff53db,Bacterial infections,Approved
258,130929-57-6,https://drugs.ncats.io/drug/4975G9NM6T,US Approved Rx 2017,ANDA207210,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207210,US Approved Rx 1999,NDA020796,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020796,Parkinson's disease,Approved
259,142217-69-4,https://drugs.ncats.io/drug/NNU2O4609D,US Approved Rx 2018,ANDA208721,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208721,US Approved Rx 2005,NDA021798,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021798,Hepatitis B,Approved
260,915087-33-1,https://drugs.ncats.io/drug/93T0T9GKNU,US Approved Rx 2020,NDA213674,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213674,US Approved Rx 2012,NDA203415,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203415,Castrate-resistant prostate cancer,Approved
261,299-42-3,https://drugs.ncats.io/drug/GN83C131XS,US Approved OTC ,21 CFR 341.20(b)(3) cough/cold:nasal decongestant ephedrine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-20.xml,US Previously Marketed 1928,Ephetonine by Merck,https://www.google.com/books/edition/American_Journal_of_Pharmacy/NEAfAQAAIAAJ?hl=en&gbpv=1&bsq=ephetonine&dq=ephetonine&printsec=frontcover,Anesthesia-induced hypotension,Approved
262,989-51-5,https://drugs.ncats.io/drug/BQM438CTEL,Possibly Marketed Outside US 2023,21 CFR 341,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=00f8f724-87bc-e3f5-e063-6394a90a2eed,Possibly Marketed Outside US 2012,BabySpaShea Butter Diaper by EXPRO3 LLC,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=15c9f3c4-833a-4211-a0d0-31e754e7fb9f,Multiple sclerosis; Multiple system atrophy; Duchenne muscular dystrophy,Phase III; Phase III; Phase III
263,80012-43-7,https://drugs.ncats.io/drug/Q13WX941EF,US Approved Rx 2011,ANDA090870,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090870,US Previously Marketed 2003,ELESTAT by ALLERGAN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021565,Allergic conjunctivitis,Approved
264,51-43-4,https://drugs.ncats.io/drug/YKH834O4BH,US Approved OTC ,21 CFR 346.12(c) anorectal:vasoconstrictor epinephrine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec346-12.xml,US Previously Marketed 1901,Adrenalin by Parke Davis,https://babel.hathitrust.org/cgi/pt?id=mdp.39015064545372&view=1up&seq=65,Miosis; Anaphylaxis,Approved; Approved
265,56420-45-2,https://drugs.ncats.io/drug/3Z8479ZZ5X,US Approved Rx 2009,ANDA090163,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090163,US Approved Rx 1999,NDA050778,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050778,,
266,107724-20-9,https://drugs.ncats.io/drug/6995V82D0B,US Approved Rx 2018,ANDA208283,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208283,US Approved Rx 2002,NDA021437,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021437,Hypertension,Approved
267,11096-26-7,https://drugs.ncats.io/drug/64FS3BFH5W,US Approved Rx 2018,BLA125545,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125545,US Approved Rx 1989,BLA103234,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103234,,
268,11096-26-7,https://drugs.ncats.io/drug/64FS3BFH5W,US Approved Rx 2018,BLA125545,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125545,US Approved Rx 1989,BLA103234,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103234,,
269,35121-78-9,https://drugs.ncats.io/drug/DCR9Z582X0,US Approved Rx 2008,NDA022260,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022260,US Approved Rx 1995,NDA020444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020444,Primary pulmonary hypertension,Approved
270,133040-01-4,https://drugs.ncats.io/drug/2KH13Z0S0Y,US Previously Marketed 2001,TEVETEN HCT by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021268,US Previously Marketed 1997,TEVETEN by ABBVIE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020738,Hypertension,Approved
271,188627-80-7,https://drugs.ncats.io/drug/NA8320J834,US Approved Rx 2015,ANDA206127,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206127,US Previously Marketed 1998,INTEGRILIN by MSD SUB MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020718,Acute coronary syndrome,Approved
272,1207283-85-9,https://drugs.ncats.io/drug/07896928ZC,US Approved Rx 2018,NDA211109,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211109,US Approved Rx 2018,NDA211109,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=211109,Intra-abdominal infections,Approved
273,1582205-90-0,https://drugs.ncats.io/drug/I5I8VB78VT,US Approved Rx 2018,BLA761077,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761077,US Approved Rx 2018,BLA761077,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761077,,
274,50-14-6,https://drugs.ncats.io/drug/VS041H42XC,US Approved Rx 1941,NDA003444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003444,US Approved Rx 1941,NDA003444,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=003444,Hypoparathyroidism; Familial hypophosphatemia; Refractory rickets,Approved; Approved; Approved
275,60-79-7,https://drugs.ncats.io/drug/WH41D8433D,US Previously Marketed 1959,TACE 25 MG ERGONOVINE by MERRELL,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33453.pdf,US Previously Marketed 1959,TACE 25 MG ERGONOVINE by MERRELL,https://www.govinfo.gov/content/pkg/FR-1998-12-17/pdf/98-33453.pdf,Postpartum haemorrhage; Postabortion haemorrhage,Approved; Approved
276,113-15-5,https://drugs.ncats.io/drug/PR834Q503T,US Approved Rx 1983,ANDA086557,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=086557,US Previously Marketed 1948,CAFERGOT by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=006620,Migraine; Migraine; Migraine,Approved; Approved; Approved
277,253128-41-5,https://drugs.ncats.io/drug/LR24G6354G,US Approved Rx 2010,NDA201532,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201532,US Approved Rx 2010,NDA201532,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=201532,Breast Cancer,Approved
278,183321-74-6,https://drugs.ncats.io/drug/J4T82NDH7E,US Approved Rx 2014,ANDA091002,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091002,US Previously Marketed 2004,TARCEVA by OSI PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021743,"Locally advanced or metastatic non-small cell lung cancer; Locally advanced, unresectable or metastatic pancreatic cancer",Approved; Approved
279,153832-46-3,https://drugs.ncats.io/drug/G32F6EID2H,US Approved Rx 2018,ANDA208790,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208790,US Approved Rx 2001,NDA021337,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021337,"Complicated intra-abdominal infections; Complicated skin and skin structure infections; Community acquired pneumonia; Complicated urinary tract infections including pyelonephritis; Acute pelvic infections including postpartum endomyometritis, septic abortion and post surgical gynecologic infections",Approved; Approved; Approved; Approved; Approved
280,119683-68-0,https://drugs.ncats.io/drug/G6N3J05W84,US Approved Rx 2009,NDA022180,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022180,Possibly Marketed Outside US 1995,ANDA065520,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e1904c28-8c19-44da-b395-1e4bd08d6122,Acne,Approved
281,171544-35-7,https://drugs.ncats.io/drug/6HJV9H13XS,US Previously Marketed 1996,GASTROMARK by AMAG PHARMS INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020410,US Previously Marketed 1996,GASTROMARK by AMAG PHARMS INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020410,,
282,1309-38-2,https://drugs.ncats.io/drug/XM0M87F357,US Approved Rx 2009,NDA022180,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022180,Possibly Marketed Outside US 1995,ANDA065520,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e1904c28-8c19-44da-b395-1e4bd08d6122,Acne,Approved
