Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance,Depositor Synonym List,Regular Synonym List,Synonym?
BUTYLCAINE,BUTYLCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/2482,FEATURED,94-25-7,No CAS info,COMPOUND,YES,YES,YES
BUTYLHYDROXYTOLUOL,BUTYLHYDROXYTOLUOL,https://pubmed.ncbi.nlm.nih.gov/3125696,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
BUTYLPARABEN,BUTYLPARABEN,https://pubchem.ncbi.nlm.nih.gov/compound/7184,FEATURED,94-26-8,"8068-49-3, 1350551-41-5, 1350551-41-5, 8068-49-3",COMPOUND,YES,YES,YES
BUTYROSPERMUM_PARKII,BUTYROSPERMUM PARKII,https://pubchem.ncbi.nlm.nih.gov/compound/Vitellaria%20paradoxa%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
C1_INHIBITOR_(HUMAN),C1 INHIBITOR (HUMAN),https://pubchem.ncbi.nlm.nih.gov/compound/Human%20C1-Esterase%20Inhibitor,FEATURED,"80295-38-1, 1018837-94-9",81295-50-3,COMPOUND,MISSING,YES,YES
CABAZITAXEL,CABAZITAXEL,https://pubchem.ncbi.nlm.nih.gov/compound/9854073,FEATURED,183133-96-2,890654-44-1,COMPOUND,YES,YES,YES
CABERGOLINE,CABERGOLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54746,FEATURED,81409-90-7,No CAS info,COMPOUND,YES,YES,YES
CABOZANTINIB,CABOZANTINIB,https://pubchem.ncbi.nlm.nih.gov/compound/25102847,FEATURED,849217-68-1,No CAS info,COMPOUND,YES,YES,YES
CACAO_BUTTER,CACAO BUTTER,https://pubchem.ncbi.nlm.nih.gov/substance/481180537,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CADEXOMER_IODINE,CADEXOMER IODINE,https://pubchem.ncbi.nlm.nih.gov/substance/135298353,RELEVANT,94820-09-4,No CAS info,SUBSTANCE,YES,YES,YES
CADE_OIL,CADE OIL,https://pubchem.ncbi.nlm.nih.gov/compound/Juniper%20Tar,FEATURED,8013-10-3,No CAS info,COMPOUND,MISSING,YES,YES
CAFFEINE,CAFFEINE,https://pubchem.ncbi.nlm.nih.gov/compound/2519,FEATURED,58-08-2,"71701-02-5, 95789-13-2, 95789-13-2, 71701-02-5",COMPOUND,YES,YES,YES
CAJUPUT,CAJUPUT,https://pubchem.ncbi.nlm.nih.gov/substance/483934535,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CALAMINE,CALAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/23083748,FEATURED,"8011-96-9, 12063-19-3","1884263-09-5, 745830-57-3, 548491-80-1, 882315-44-8, 1353745-31-9, 1555944-40-5, 651053-04-2, 1435443-98-3, 1363177-45-0, 263842-41-7, 1415015-81-4, 1005291-42-8, 1225184-29-1, 1314527-00-8, 1662679-23-3, 164250-66-2, 71615-25-3, 1419872-41-5, 1639052-09-7, 1331731-79-3, 116094-82-7",COMPOUND,YES,YES,YES
CALASPARGASE_PEGOL,CALASPARGASE PEGOL,https://pubchem.ncbi.nlm.nih.gov/substance/481101553,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CALCIFEDIOL,CALCIFEDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5283731,FEATURED,"19356-17-3, 64719-49-9, 63283-36-3","25631-40-7, 1384584-62-6, 1384584-62-6",COMPOUND,YES,YES,YES
CALCIPOTRIOL,CALCIPOTRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5288783,FEATURED,"112965-21-6, 112828-00-9",112828-00-9,COMPOUND,YES,YES,YES
CALCITONIN_(SALMON),CALCITONIN (SALMON),https://pubchem.ncbi.nlm.nih.gov/compound/16220016,RELEVANT,"9007-12-9, 47931-85-1",No CAS info,COMPOUND,NO,NO,NO
CALCITRIOL,CALCITRIOL,https://pubchem.ncbi.nlm.nih.gov/compound/5280453,FEATURED,32222-06-3,"125338-24-1, 69878-52-0, 1000873-74-4, 125338-24-1, 1000873-74-4",COMPOUND,YES,YES,YES
CALCIUM,CALCIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5460341,FEATURED,7440-70-2,8047-59-4,COMPOUND,YES,YES,YES
CALCIUM_FOLINATE,CALCIUM FOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135403647,FEATURED,1492-18-8,"30771-29-0, 6035-86-5, 6209-45-6, 1236362-90-5, 6035-86-5, 6209-45-6, 30771-29-0, 1236362-90-5",COMPOUND,YES,YES,YES
CALCIUM_LEVOFOLINATE,CALCIUM LEVOFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135500522,FEATURED,80433-71-2,No CAS info,COMPOUND,YES,YES,YES
CALCIUM_MEFOLINATE,CALCIUM MEFOLINATE,https://pubchem.ncbi.nlm.nih.gov/compound/135742689,FEATURED,26560-38-3,No CAS info,COMPOUND,YES,YES,YES
CALENDULA_OFFICINALIS,CALENDULA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924236,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CALFACTANT,CALFACTANT,https://pubchem.ncbi.nlm.nih.gov/compound/Calfactant,FEATURED,"183325-78-2, 151437-98-8",151437-98-8,COMPOUND,MISSING,YES,YES
CAMELLIA_SINENSIS,CAMELLIA SINENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/482038428,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CAMPESTEROL,CAMPESTEROL,https://pubchem.ncbi.nlm.nih.gov/compound/173183,FEATURED,474-62-4,No CAS info,COMPOUND,YES,YES,YES
CAMPHOR,CAMPHOR,https://pubchem.ncbi.nlm.nih.gov/compound/2537,FEATURED,"76-22-2, 21368-68-3","21368-68-3, 48113-22-0, 8013-55-6, 8022-77-3, 21368-68-3, 8013-55-6, 8022-77-3",COMPOUND,YES,YES,YES
CANAGLIFLOZIN,CANAGLIFLOZIN,https://pubchem.ncbi.nlm.nih.gov/compound/24812758,FEATURED,842133-18-0,No CAS info,COMPOUND,YES,YES,YES
CANAKINUMAB,CANAKINUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Canakinumab,FEATURED,"914613-48-2, 402710-25-2, 402710-27-4",No CAS info,COMPOUND,MISSING,YES,YES
CANDESARTAN_CILEXETIL,CANDESARTAN CILEXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/2540,FEATURED,145040-37-5,No CAS info,COMPOUND,YES,YES,YES
CANDIDA_ALBICANS,CANDIDA ALBICANS,https://pubchem.ncbi.nlm.nih.gov/compound/Candida%20Albicans,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CANDIDA_TESTS,CANDIDA TESTS,https://pubchem.ncbi.nlm.nih.gov/bioassay/368251,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
CANGRELOR,CANGRELOR,https://pubchem.ncbi.nlm.nih.gov/compound/9854012,FEATURED,163706-06-7,No CAS info,COMPOUND,YES,YES,YES
CANNABIDIOL,CANNABIDIOL,https://pubchem.ncbi.nlm.nih.gov/compound/644019,FEATURED,"13956-29-1, 3556-78-3","35542-48-4, 18436-46-9, 20547-66-4, 521-37-9",COMPOUND,YES,YES,YES
CANTHARIDES,CANTHARIDES,https://pubchem.ncbi.nlm.nih.gov/compound/5944,RELEVANT,56-25-7,1351357-43-1,COMPOUND,NO,YES,YES
CANTHARIDIN,CANTHARIDIN,https://pubchem.ncbi.nlm.nih.gov/compound/5944,FEATURED,56-25-7,1351357-43-1,COMPOUND,YES,YES,YES
CAPECITABINE,CAPECITABINE,https://pubchem.ncbi.nlm.nih.gov/compound/60953,FEATURED,154361-50-9,"158798-73-3, 958887-39-3",COMPOUND,YES,YES,YES
CAPLACIZUMAB,CAPLACIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Caplacizumab,FEATURED,915810-67-2,No CAS info,COMPOUND,MISSING,YES,YES
CAPREOMYCIN,CAPREOMYCIN,https://pubchem.ncbi.nlm.nih.gov/compound/3000502,FEATURED,11003-38-6,No CAS info,COMPOUND,YES,YES,YES
CAPROMAB,CAPROMAB,https://pubchem.ncbi.nlm.nih.gov/compound/135509147,RELEVANT,145464-28-4,No CAS info,COMPOUND,NO,YES,YES
CAPSAICIN,CAPSAICIN,https://pubchem.ncbi.nlm.nih.gov/compound/1548943,FEATURED,404-86-4,912457-62-6,COMPOUND,YES,YES,YES
CAPSICUM,CAPSICUM,https://pubchem.ncbi.nlm.nih.gov/compound/Capsicum,FEATURED,977007-72-9,No CAS info,COMPOUND,MISSING,YES,YES
CAPSICUM_OLEORESIN,CAPSICUM OLEORESIN,https://pubchem.ncbi.nlm.nih.gov/compound/Capsicum%20Oleoresin,FEATURED,8023-77-6,No CAS info,COMPOUND,MISSING,YES,YES
CAPTOPRIL,CAPTOPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/44093,FEATURED,62571-86-2,"138452-88-7, 70903-77-4, 225661-74-5",COMPOUND,YES,YES,YES
CARALLUMA_FIMBRIATA,CARALLUMA FIMBRIATA,https://pubchem.ncbi.nlm.nih.gov/substance/482038648,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARAMIPHEN,CARAMIPHEN,https://pubchem.ncbi.nlm.nih.gov/compound/6472,FEATURED,77-22-5,No CAS info,COMPOUND,YES,YES,YES
CARAPA_GUIANENSIS,CARAPA GUIANENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/Carapa%20guianensis%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CARBACHOL,CARBACHOL,https://pubchem.ncbi.nlm.nih.gov/compound/5831,FEATURED,51-83-2,No CAS info,COMPOUND,YES,YES,YES
CARBAMAZEPINE,CARBAMAZEPINE,https://pubchem.ncbi.nlm.nih.gov/compound/2554,FEATURED,298-46-4,No CAS info,COMPOUND,YES,YES,YES
CARBENICILLIN,CARBENICILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/20824,FEATURED,4697-36-3,"24003-65-4, 69487-18-9, 802025-71-4, 38321-00-5, 13822-29-2",COMPOUND,YES,YES,YES
CARBIDOPA,CARBIDOPA,https://pubchem.ncbi.nlm.nih.gov/compound/34359,FEATURED,"28860-95-9, 38821-49-7","27925-91-3, 31823-41-3",COMPOUND,YES,YES,YES
CARBINOXAMINE,CARBINOXAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/2564,FEATURED,486-16-8,59811-38-0,COMPOUND,YES,YES,YES
CARBITOL,CARBITOL,https://pubchem.ncbi.nlm.nih.gov/compound/8146,FEATURED,111-90-0,No CAS info,COMPOUND,YES,YES,YES
CARBOCISTEINE,CARBOCISTEINE,https://pubchem.ncbi.nlm.nih.gov/compound/193653,FEATURED,638-23-3,11139-64-3,COMPOUND,YES,YES,YES
CARBOHYDRATES,CARBOHYDRATES,https://pubchem.ncbi.nlm.nih.gov/compound/2723872,RELEVANT,"6347-01-9, 57-48-7, 7660-25-5",No CAS info,COMPOUND,NO,NO,NO
CARBOMER,CARBOMER,https://pubchem.ncbi.nlm.nih.gov/compound/120393,FEATURED,"9007-20-9, 842-91-1",No CAS info,COMPOUND,YES,YES,YES
CARBONIC_ACID,CARBONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/767,FEATURED,"463-79-6, 22719-67-1, 71-52-3","792143-57-8, 1185770-84-6, 97328-76-2",COMPOUND,YES,YES,YES
CARBONYL_IRON,CARBONYL IRON,https://pubchem.ncbi.nlm.nih.gov/compound/414976,FEATURED,No CAS info,No CAS info,COMPOUND,NO,NO,NO
CARBOPLATIN,CARBOPLATIN,https://pubchem.ncbi.nlm.nih.gov/compound/426756,FEATURED,41575-94-4,No CAS info,COMPOUND,YES,YES,YES
CARBOPROST,CARBOPROST,https://pubchem.ncbi.nlm.nih.gov/compound/5281075,FEATURED,"35700-23-3, 59286-19-0",No CAS info,COMPOUND,YES,YES,YES
CARDIOSPERMUM,CARDIOSPERMUM,https://pubchem.ncbi.nlm.nih.gov/substance/483931051,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARFILZOMIB,CARFILZOMIB,https://pubchem.ncbi.nlm.nih.gov/compound/11556711,FEATURED,868540-17-4,No CAS info,COMPOUND,YES,YES,YES
CARGLUMIC_ACID,CARGLUMIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/121396,FEATURED,1188-38-1,No CAS info,COMPOUND,YES,YES,YES
CARICA_PAPAYA,CARICA PAPAYA,https://pubchem.ncbi.nlm.nih.gov/compound/5249653,RELEVANT,"108333-82-0, 9001-73-4","125054-90-2, 8050-04-2, 8057-83-8, 9002-59-9, 9086-65-1",COMPOUND,NO,NO,NO
CARINDACILLIN,CARINDACILLIN,https://pubchem.ncbi.nlm.nih.gov/compound/93184,FEATURED,35531-88-5,No CAS info,COMPOUND,YES,YES,YES
CARIPRAZINE,CARIPRAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/Cariprazine,FEATURED,839712-12-8,955400-75-6,COMPOUND,MISSING,YES,YES
CARISOPRODOL,CARISOPRODOL,https://pubchem.ncbi.nlm.nih.gov/compound/2576,FEATURED,78-44-4,8053-63-2,COMPOUND,YES,YES,YES
CARMELLOSE,CARMELLOSE,https://pubchem.ncbi.nlm.nih.gov/compound/24748,FEATURED,9000-11-7,"177317-30-5, 191616-54-3, 196886-89-2, 204336-41-4, 1125619-15-9, 1125619-15-9, 177317-30-5, 191616-54-3, 196886-89-2, 204336-41-4",COMPOUND,YES,YES,YES
CARMUSTINE,CARMUSTINE,https://pubchem.ncbi.nlm.nih.gov/compound/2578,FEATURED,154-93-8,"1159711-15-5, 1191292-23-5",COMPOUND,YES,YES,YES
CARNAUBA_WAX,CARNAUBA WAX,https://pubchem.ncbi.nlm.nih.gov/compound/Carnauba%20Wax,FEATURED,8015-86-9,"174477-33-9, 77700-48-2, 2291949-29-4, 174477-33-9, 2291949-29-4, 77700-48-2, 77700-48-2",COMPOUND,MISSING,YES,YES
CARNOSINE,CARNOSINE,https://pubchem.ncbi.nlm.nih.gov/compound/439224,FEATURED,305-84-0,7683-28-5,COMPOUND,YES,YES,YES
CAROTEN,CAROTEN,https://pubchem.ncbi.nlm.nih.gov/compound/5280489,RELEVANT,7235-40-7,"116-32-5, 31797-85-0, 2321332-51-6, 116-32-5, 2321332-51-6, 2519474-91-8, 31797-85-0, 116-32-5",COMPOUND,NO,NO,NO
CAROTENOIDS_(UNSPECIFIED),CAROTENOIDS (UNSPECIFIED),https://pubchem.ncbi.nlm.nih.gov/compound/445354,RELEVANT,"11103-57-4, 68-26-8","13123-33-6, 17104-91-5, 5979-23-7, 1341-18-0, 1406-67-3, 53637-36-8, 13123-33-6, 17104-91-5, 2820400-21-1, 5979-23-7, 5979-23-7, 13123-33-6",COMPOUND,NO,NO,NO
CARTEOLOL,CARTEOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/2583,FEATURED,51781-06-7,No CAS info,COMPOUND,YES,YES,YES
CARTHAMUS_TINCTORIUS,CARTHAMUS TINCTORIUS,https://pubchem.ncbi.nlm.nih.gov/substance/483935041,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARUM_PETROSELINUM,CARUM PETROSELINUM,https://pubchem.ncbi.nlm.nih.gov/substance/482025350,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CARVEDILOL,CARVEDILOL,https://pubchem.ncbi.nlm.nih.gov/compound/2585,FEATURED,72956-09-3,107741-96-8,COMPOUND,YES,YES,YES
CASANTHRANOL,CASANTHRANOL,https://pubchem.ncbi.nlm.nih.gov/compound/Casanthranol,FEATURED,"8024-48-4, 8015-89-2",No CAS info,COMPOUND,MISSING,YES,YES
CASEIN,CASEIN,https://pubchem.ncbi.nlm.nih.gov/compound/Casein,FEATURED,9000-71-9,"37279-88-2, 9009-70-5, 9016-20-0, 9049-46-1, 9049-47-2, 9049-48-3, 9050-32-2, 9062-08-2, 9064-58-8, 9064-59-9, 9064-60-2, 9064-61-3, 2649563-94-8",COMPOUND,MISSING,YES,YES
CASPOFUNGIN,CASPOFUNGIN,https://pubchem.ncbi.nlm.nih.gov/compound/16119814,FEATURED,162808-62-0,No CAS info,COMPOUND,YES,YES,YES
CASTOR_FIBER,CASTOR FIBER,https://pubchem.ncbi.nlm.nih.gov/substance/482037988,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CATHETERS,CATHETERS,https://pubchem.ncbi.nlm.nih.gov/bioassay/546731,RELEVANT,No CAS info,No CAS info,NEITHER,MISSING,MISSING,NO
CATRIDECACOG,CATRIDECACOG,https://pubchem.ncbi.nlm.nih.gov/compound/Catridecacog,FEATURED,606138-08-3,No CAS info,COMPOUND,MISSING,YES,YES
CEDAR_WOOD_OIL,CEDAR WOOD OIL,https://pubchem.ncbi.nlm.nih.gov/substance/482028917,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CEDRUS_ATLANTICA,CEDRUS ATLANTICA,https://pubchem.ncbi.nlm.nih.gov/compound/Cedrus%20atlantica%20whole,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CEFACLOR,CEFACLOR,https://pubchem.ncbi.nlm.nih.gov/compound/51039,FEATURED,"53994-73-3, 70356-03-5",No CAS info,COMPOUND,YES,YES,YES
CEFADROXIL,CEFADROXIL,https://pubchem.ncbi.nlm.nih.gov/compound/47965,FEATURED,"50370-12-2, 66592-87-8",No CAS info,COMPOUND,YES,YES,YES
CEFALEXIN,CEFALEXIN,https://pubchem.ncbi.nlm.nih.gov/compound/27447,FEATURED,15686-71-2,"14101-75-8, 17692-47-6, 65454-17-3, 82853-18-7",COMPOUND,YES,YES,YES
CEFAMANDOLE,CEFAMANDOLE,https://pubchem.ncbi.nlm.nih.gov/compound/456255,FEATURED,"34444-01-4, 30034-03-8",No CAS info,COMPOUND,YES,YES,YES
CEFAPIRIN,CEFAPIRIN,https://pubchem.ncbi.nlm.nih.gov/compound/30699,FEATURED,21593-23-7,No CAS info,COMPOUND,YES,YES,YES
CEFAZOLIN,CEFAZOLIN,https://pubchem.ncbi.nlm.nih.gov/compound/33255,FEATURED,25953-19-9,No CAS info,COMPOUND,YES,YES,YES
CEFDINIR,CEFDINIR,https://pubchem.ncbi.nlm.nih.gov/compound/6915944,FEATURED,91832-40-5,No CAS info,COMPOUND,YES,YES,YES
CEFDITOREN_PIVOXIL,CEFDITOREN PIVOXIL,https://pubchem.ncbi.nlm.nih.gov/compound/6437877,FEATURED,117467-28-4,No CAS info,COMPOUND,YES,YES,YES
CEFEPIME,CEFEPIME,https://pubchem.ncbi.nlm.nih.gov/compound/5479537,FEATURED,88040-23-7,107648-84-0,COMPOUND,YES,YES,YES
CEFIXIME,CEFIXIME,https://pubchem.ncbi.nlm.nih.gov/compound/5362065,FEATURED,79350-37-1,214265-67-5,COMPOUND,YES,YES,YES
CEFMETAZOLE,CEFMETAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/42008,FEATURED,56796-20-4,No CAS info,COMPOUND,YES,YES,YES
CEFONICID,CEFONICID,https://pubchem.ncbi.nlm.nih.gov/compound/43594,FEATURED,61270-58-4,No CAS info,COMPOUND,YES,YES,YES
CEFOPERAZONE,CEFOPERAZONE,https://pubchem.ncbi.nlm.nih.gov/compound/44187,FEATURED,"62893-19-0, 62893-20-3, 113826-44-1",72448-63-6,COMPOUND,YES,YES,YES
CEFOTAXIME,CEFOTAXIME,https://pubchem.ncbi.nlm.nih.gov/compound/5742673,FEATURED,"63527-52-6, 60846-21-1",69738-42-7,COMPOUND,YES,YES,YES
CEFOTETAN,CEFOTETAN,https://pubchem.ncbi.nlm.nih.gov/compound/Cefotetan,FEATURED,69712-56-7,No CAS info,COMPOUND,MISSING,YES,YES
CEFOXITIN,CEFOXITIN,https://pubchem.ncbi.nlm.nih.gov/compound/441199,FEATURED,35607-66-0,No CAS info,COMPOUND,YES,YES,YES
CEFPODOXIME_PROXETIL,CEFPODOXIME PROXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/6526396,FEATURED,87239-81-4,No CAS info,COMPOUND,YES,YES,YES
CEFPROZIL,CEFPROZIL,https://pubchem.ncbi.nlm.nih.gov/compound/5281006,FEATURED,"92676-86-3, 92665-29-7",136427-56-0,COMPOUND,YES,YES,YES
CEFRADINE,CEFRADINE,https://pubchem.ncbi.nlm.nih.gov/compound/38103,FEATURED,38821-53-3,No CAS info,COMPOUND,YES,YES,YES
CEFTAROLINE_FOSAMIL,CEFTAROLINE FOSAMIL,https://pubchem.ncbi.nlm.nih.gov/compound/9852981,FEATURED,229016-73-3,No CAS info,COMPOUND,YES,YES,YES
CEFTAZIDIME,CEFTAZIDIME,https://pubchem.ncbi.nlm.nih.gov/compound/5481173,FEATURED,"72558-82-8, 78439-06-2",No CAS info,COMPOUND,YES,YES,YES
CEFTIBUTEN,CEFTIBUTEN,https://pubchem.ncbi.nlm.nih.gov/compound/5282242,FEATURED,97519-39-6,No CAS info,COMPOUND,YES,YES,YES
CEFTIZOXIME,CEFTIZOXIME,https://pubchem.ncbi.nlm.nih.gov/compound/6533629,FEATURED,68401-81-0,No CAS info,COMPOUND,YES,YES,YES
CEFTOLOZANE,CEFTOLOZANE,https://pubchem.ncbi.nlm.nih.gov/compound/53234134,FEATURED,689293-68-3,No CAS info,COMPOUND,YES,YES,YES
CEFTRIAXONE,CEFTRIAXONE,https://pubchem.ncbi.nlm.nih.gov/compound/5479530,FEATURED,73384-59-5,380149-23-5,COMPOUND,YES,YES,YES
CEFUROXIME,CEFUROXIME,https://pubchem.ncbi.nlm.nih.gov/compound/5479529,FEATURED,55268-75-2,153012-39-6,COMPOUND,YES,YES,YES
CEFUROXIME_AXETIL,CEFUROXIME AXETIL,https://pubchem.ncbi.nlm.nih.gov/compound/6321416,FEATURED,64544-07-6,No CAS info,COMPOUND,YES,YES,YES
CELECOXIB,CELECOXIB,https://pubchem.ncbi.nlm.nih.gov/compound/2662,FEATURED,169590-42-5,"184007-95-2, 194044-54-7",COMPOUND,YES,YES,YES
CELLULASE,CELLULASE,https://pubchem.ncbi.nlm.nih.gov/compound/440950,FEATURED,"9012-54-8, 61788-77-0, 33404-34-1","143296-48-4, 145172-25-4, 149718-64-9, 152443-09-9, 160995-61-9, 179530-34-8, 214975-89-0, 2242562-77-0, 2829271-59-0, 881098-86-8, 9037-40-5",COMPOUND,YES,YES,YES
CELLULOSE,CELLULOSE,https://pubchem.ncbi.nlm.nih.gov/compound/16211032,FEATURED,"9004-34-6, 99331-82-5, 9013-34-7","1161712-52-2, 12656-52-9, 137261-76-8, 1374408-52-2, 152231-69-1, 1621420-37-8, 1873279-80-1, 189398-86-5, 196316-75-3, 209533-95-9, 2095812-59-0, 2243384-02-1, 2243384-04-3, 231290-83-8, 2409008-33-7, 2618568-52-6, 2799647-31-5, 324745-49-5, 358787-62-9, 39394-43-9, 51395-76-7, 58968-67-5, 61991-21-7, 61991-22-8, 67016-75-5, 67016-76-6, 68073-05-2, 70225-79-5, 74623-16-8, 75398-83-3, 77907-70-1, 84503-75-3, 89468-66-6, 9012-19-5, 9037-50-7, 906542-14-1, 9076-30-6, 99331-82-5",COMPOUND,YES,YES,YES
CEMIPLIMAB,CEMIPLIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Cemiplimab,FEATURED,1801342-60-8,1859072-60-8,COMPOUND,MISSING,YES,YES
CENTELLA_ASIATICA,CENTELLA ASIATICA,https://pubchem.ncbi.nlm.nih.gov/compound/Centella%20Asiatica,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CEPHAELIS_IPECACUANHA,CEPHAELIS IPECACUANHA,https://pubchem.ncbi.nlm.nih.gov/substance/482038482,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CERAMIDE,CERAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5355130,RELEVANT,"5466-77-3, 83834-59-7","1202568-70-4, 155867-04-2",COMPOUND,NO,NO,NO
CERITINIB,CERITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/57379345,FEATURED,1032900-25-6,1431456-10-8,COMPOUND,YES,YES,YES
CERIUM,CERIUM,https://pubchem.ncbi.nlm.nih.gov/compound/23974,FEATURED,"7440-45-1, 13864-02-3","110123-49-4, 196959-41-8",COMPOUND,YES,YES,YES
CERIVASTATIN,CERIVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/446156,FEATURED,145599-86-6,No CAS info,COMPOUND,YES,YES,YES
CERLIPONASE_ALFA,CERLIPONASE ALFA,https://pubchem.ncbi.nlm.nih.gov/compound/Cerliponase%20Alfa,FEATURED,151662-36-1,"227604-61-7, 227951-49-7",COMPOUND,MISSING,YES,YES
CERTOLIZUMAB_PEGOL,CERTOLIZUMAB PEGOL,https://pubchem.ncbi.nlm.nih.gov/compound/Certolizumab%20Pegol,FEATURED,428863-50-7,"339184-10-0, 1132819-27-2",COMPOUND,MISSING,YES,YES
CETALKONIUM,CETALKONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/31203,FEATURED,10328-34-4,"21396-54-3, 51895-89-7",COMPOUND,YES,YES,YES
CETIRIZINE,CETIRIZINE,https://pubchem.ncbi.nlm.nih.gov/compound/2678,FEATURED,83881-51-0,No CAS info,COMPOUND,YES,YES,YES
CETRIMIDE,CETRIMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/Cetrimide,FEATURED,"8044-71-1, 505-86-2",No CAS info,COMPOUND,MISSING,YES,YES
CETRORELIX,CETRORELIX,https://pubchem.ncbi.nlm.nih.gov/compound/25074887,FEATURED,120287-85-6,No CAS info,COMPOUND,YES,YES,YES
CETUXIMAB,CETUXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Cetuximab,FEATURED,205923-56-4,No CAS info,COMPOUND,MISSING,YES,YES
CETYLPYRIDINIUM,CETYLPYRIDINIUM,https://pubchem.ncbi.nlm.nih.gov/compound/2683,FEATURED,7773-52-6,No CAS info,COMPOUND,YES,YES,YES
CEVIMELINE,CEVIMELINE,https://pubchem.ncbi.nlm.nih.gov/compound/83898,FEATURED,"107233-08-9, 1035535-90-0",No CAS info,COMPOUND,YES,YES,YES
CHARCOAL,CHARCOAL,https://pubchem.ncbi.nlm.nih.gov/compound/Charcoal,FEATURED,16291-96-6,"1333-85-3, 944340-46-9, 944340-46-9",COMPOUND,MISSING,YES,YES
CHELIDONIUM_MAJUS,CHELIDONIUM MAJUS,https://pubchem.ncbi.nlm.nih.gov/substance/483933011,RELEVANT,No CAS info,No CAS info,SUBSTANCE,NO,MISSING,NO
CHERRY,CHERRY,https://pubchem.ncbi.nlm.nih.gov/compound/Cherry,FEATURED,No CAS info,No CAS info,COMPOUND,MISSING,YES,YES
CHLORAL_HYDRATE,CHLORAL HYDRATE,https://pubchem.ncbi.nlm.nih.gov/compound/2707,FEATURED,302-17-0,109128-19-0,COMPOUND,YES,YES,YES
CHLORAMBUCIL,CHLORAMBUCIL,https://pubchem.ncbi.nlm.nih.gov/compound/2708,FEATURED,305-03-3,No CAS info,COMPOUND,YES,YES,YES
CHLORAMPHENICOL,CHLORAMPHENICOL,https://pubchem.ncbi.nlm.nih.gov/compound/5959,FEATURED,"56-75-7, 2787-09-9","137731-90-9, 15313-32-3, 55172-72-0, 59112-59-3, 85666-84-8, 85666-84-8, 15313-32-3, 55172-72-0, 137731-90-9, 59112-59-3",COMPOUND,YES,YES,YES
