CAS,URL,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases,
1415-73-2,https://drugs.ncats.io/drug/648RW354S9,,,,,,,Non-small cell lung cancer; Myocardial ischemia-reperfusion injury; Ventricular arrhythmia,Preclinical; Preclinical; Preclinical,
850649-61-5,https://drugs.ncats.io/drug/JHC049LO86,US Approved Rx 2013,NDA203414,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203414,US Approved Rx 2013,NDA203414,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=203414,Type 2 diabetes mellitus,Approved,
122852-42-0,https://drugs.ncats.io/drug/13Z9HTH115,US Approved Rx 2019,ANDA209180,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209180,US Approved Rx 2000,NDA021107,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021107,Irritable bowel syndrome,Approved,
7493-95-0,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,,
9005-82-7,https://drugs.ncats.io/drug/7TDQ74Y18L,US Previously Marketed 1961,"SOLUSPONGE CONE AMYLOSE, UNSPECIFIED SOURCE by PANRAY",https://www.govinfo.gov/content/pkg/FR-1971-05-22/pdf/FR-1971-05-22.pdf,US Previously Marketed 1921,"amylose, unspecified source",https://catalog.hathitrust.org/Record/100163146,,,
7488-99-5,https://drugs.ncats.io/drug/45XWE1Z69V,,,,,,,Lewis lung carcinoma,Preclinical,
28981-97-7,https://drugs.ncats.io/drug/YU55MQ3IZY,US Approved Rx 2010,ANDA090248,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090248,US Approved Rx 1981,NDA018276,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018276,Panic disorder; Anxiety,Approved; Approved,
745-65-3,https://drugs.ncats.io/drug/F5TD010360,US Approved Rx 1996,NDA020700,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020700,US Approved Rx 1981,NDA018484,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018484,Peripheral vascular disorders; congenital heart defects,Phase III; Approved,
105857-23-6,https://drugs.ncats.io/drug/1RXS4UE564,US Approved Rx 1987,BLA103172,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103172,US Approved Rx 1987,BLA103172,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103172,,,
645-05-6,https://drugs.ncats.io/drug/Q8BIH59O7H,US Previously Marketed 1990,HEXALEN by EISAI INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019926,US Previously Marketed 1990,HEXALEN by EISAI INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019926,"Ovarian cancer, persistent or recurrent",Approved,
7429-90-5,https://drugs.ncats.io/drug/CPD4NFA903,US Previously Marketed 1921,Solution of Aluminum Acetico-Tartrate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Solution of Aluminum Acetico-Tartrate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,,
110070-78-5,https://drugs.ncats.io/drug/A585MN1H2L,Possibly Marketed Outside US ,Canada:SODIUM BENTONITE,https://tripod.nih.gov/npc/#Download,Possibly Marketed Outside US 1946,M006,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=90f80e35-095d-88f9-8ea3-0fd54f1e916c,"Allergy due to ivy, oak and sumac",Approved,
156053-89-3,https://drugs.ncats.io/drug/Q153V49P3Z,US Approved Rx 2023,ANDA216843,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216843,US Previously Marketed 2008,ENTEREG by CUBIST PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021775,Postoperative ileus,Approved,
768-94-5,https://drugs.ncats.io/drug/BF4C9Z1J53,US Approved Rx 2018,NDA209410,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209410,US Previously Marketed 1966,SYMMETREL by ENDO PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016020,Influenza A virus infection; Parkinson's disease,Approved; Approved,
7648-98-8,https://drugs.ncats.io/drug/L16PUN799N,US Previously Marketed 1956,MYTELASE by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010155,US Previously Marketed 1956,MYTELASE by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010155,Myasthenia gravis,Approved,
177036-94-1,https://drugs.ncats.io/drug/HW6NV07QEC,US Approved Rx 2022,ANDA210701,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210701,US Approved Rx 2007,NDA022081,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022081,Pulmonary arterial hypertension,Approved,
51022-69-6,https://drugs.ncats.io/drug/423W026MA9,US Approved Rx 2003,ANDA076065,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=076065,US Previously Marketed 1979,CYCLOCORT by ASTELLAS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018116,Corticosteroid-responsive dermatoses,Approved,
90-84-6,https://drugs.ncats.io/drug/Q94YYU22B8,US Approved Rx 2011,ANDA091680,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091680,US Previously Marketed 1959,TEPANIL by 3M,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011673,Unknown; Exogenous obesity; Unknown,Approved,
300-62-9,https://drugs.ncats.io/drug/CK833KGX7E,US Approved Rx 2003,ANDA040480,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040480,US Previously Marketed 1931,Benzedrine Inhaler,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2377281/,Attention deficit hyperactivity disorder,Approved,
300-62-9,https://drugs.ncats.io/drug/CK833KGX7E,US Approved Rx 2003,ANDA040480,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040480,US Previously Marketed 1931,Benzedrine Inhaler,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2377281/,Attention deficit hyperactivity disorder,Approved,
20537-88-6,https://drugs.ncats.io/drug/ILA426L95O,US Approved Rx 1995,NDA020221,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020221,US Approved Rx 1995,NDA020221,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020221,Ovarian cancer; Head and neck cancer,Approved; Approved,
37517-28-5,https://drugs.ncats.io/drug/84319SGC3C,US Approved Rx 1993,ANDA064045,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=064045,US Previously Marketed 1976,AMIKIN by APOTHECON,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050495,Cystic fibrosis; Sepsis; Urinary tract infections; Meningitis; Pneumonia,Phase III; Approved; Approved; Approved; Phase III,
2609-46-3,https://drugs.ncats.io/drug/7DZO8EB0Z3,US Approved Rx 2009,ANDA079133,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079133,US Previously Marketed 1981,MODURETIC 5-50 by MERCK,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018201,Hypertension; Heart failure,Approved; Approved,
2097132-02-8,https://drugs.ncats.io/drug/71RR81V666,Clinical ,INN:iodine (¹³¹I) apamistamab [INN],https://ginas.ncats.nih.gov/ginas/app/substance/71RR81V666,,,,,,
90-45-9,https://drugs.ncats.io/drug/78OY3Z0P7Z,US Previously Marketed 1934,Aminacrine,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,US Previously Marketed 1934,Aminacrine,https://books.google.com/books?id=jglFsz5EJR8C&lpg=PA381&ots=DG2kaw3Z_a&dq=AMINACRINE%20first%20marketed&pg=PA381#v=onepage&q=AMINACRINE%20first%20marketed&f=false,Adult T-cell leukemia/lymphoma; Vaginal trichomoniasis; Mycoses,Basic research; Phase I; Approved,
60-32-2,https://drugs.ncats.io/drug/U6F3787206,US Approved Rx 2021,ANDA213825,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=213825,US Previously Marketed 1964,AMICAR by EPIC PHARMA LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=015229,Bleeding,Approved,
125-84-8,https://drugs.ncats.io/drug/0O54ZQ14I9,US Previously Marketed 1960,Elipten by Ciba,DeHaen 1940-1975 NMEs,US Previously Marketed 1960,Elipten by Ciba,DeHaen 1940-1975 NMEs,Cushing’s disease,Approved,
106-60-5,https://drugs.ncats.io/drug/88755TAZ87,US Approved Rx 2017,NDA208630,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208630,Possibly Marketed Outside US 1995,ANDA077614,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0bfea06d-7abe-407a-80a4-d15d373569f7,Condylomata acuminata; Malignant glioma; Actinic keratosis,Approved; Approved; Approved,
317-34-0,https://drugs.ncats.io/drug/27Y3KJK423,US Approved Rx 1983,ANDA087943,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=087943,US Previously Marketed 1921,Theophylline U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Airway obstruction,Approved,
65-49-6,https://drugs.ncats.io/drug/5B2658E0N2,US Approved Rx 1994,ANDA074346,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074346,US Previously Marketed 1948,Pamisyl by Parke-Davis,DeHaen 1940-1975 NMEs,Tuberculosis; Crohn's disease; Ulcerative colitis,Approved; Phase II; Phase II,
1951-25-3,https://drugs.ncats.io/drug/N3RQ532IUT,US Approved Rx 2008,ANDA077234,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077234,US Previously Marketed 1985,CORDARONE by WYETH PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018972,Ventricular tachycardia; Recurring ventricular fibrillation,Approved; Approved,
50-48-6,https://drugs.ncats.io/drug/1806D8D52K,US Approved Rx 1987,ANDA089400,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=089400,US Previously Marketed 1961,ELAVIL by ASTRAZENECA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=012703,Depressive disorder,Approved,
68302-57-8,https://drugs.ncats.io/drug/BRL1C2459K,US Previously Marketed 2004,AMLEXANOX by ULURU,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021727,US Previously Marketed 1996,APHTHASOL by ULURU,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020511,Aphthous ulcers,Approved,
88150-42-9,https://drugs.ncats.io/drug/1J444QC288,US Approved Rx 2015,ANDA202829,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202829,Possibly Marketed Outside US 1987,NDA019787,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d233a645-805b-45be-ae20-534367bc15ff,Coronary artery disease; Hypertension; Chagas disease,Approved; Approved; Preclinical,
7664-41-7,https://drugs.ncats.io/drug/5138Q19F1X,US Approved Rx 1984,ANDA088366,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088366,US Previously Marketed 1921,Ammonium Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Metabolic alkalosis,Approved,
14798-03-9,https://drugs.ncats.io/drug/54S68520I4,US Approved Rx 1984,ANDA088366,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=088366,US Previously Marketed 1921,Ammonium Chloride U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Metabolic alkalosis,Approved,
57-43-2,https://drugs.ncats.io/drug/GWH6IJ239E,US Previously Marketed 1923,amobarbital,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2424120/,US Previously Marketed 1923,amobarbital,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2424120/,Anxiety; Insomnia,Approved; Approved,
14028-44-5,https://drugs.ncats.io/drug/R63VQ857OT,US Approved Rx 1992,ANDA072691,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=072691,US Previously Marketed 1980,ASENDIN by LEDERLE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018021,Neurotic or reactive depressive disorders; Psychotic depressions,Approved; Approved,
26787-78-0,https://drugs.ncats.io/drug/9EM05410Q9,US Approved Rx 2005,ANDA065191,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065191,US Previously Marketed 1973,AMOXIL by GLAXOSMITHKLINE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050459,"Infections of the ear, nose, and throat; Skin and skin structure infections; Gonorrhea, acute uncomplicated; Helicobacter pylori infection and duodenal ulcer disease; Infections of the genitourinary tract",Approved; Approved; Approved; Approved; Approved,
300-62-9,https://drugs.ncats.io/drug/CK833KGX7E,US Approved Rx 2003,ANDA040480,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040480,US Previously Marketed 1931,Benzedrine Inhaler,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2377281/,Attention deficit hyperactivity disorder,Approved,
300-62-9,https://drugs.ncats.io/drug/CK833KGX7E,US Approved Rx 2003,ANDA040480,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040480,US Previously Marketed 1931,Benzedrine Inhaler,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2377281/,Attention deficit hyperactivity disorder,Approved,
1397-89-3,https://drugs.ncats.io/drug/7XU7A7DROE,US Approved Rx 2021,ANDA212514,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212514,US Previously Marketed 1958,Fungizone by Squibb,DeHaen 1940-1975 NMEs,Cryptococcosis; Zygomycosis; Histoplasmosis; Visceral leishmaniasis; Mucormycosis; Coccidioidomycosis; Blastomycosis; Candida infections; Aspergillus infections; Sporotrichosis; Naeglerias; Mycoses,Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved; Preclinical; Preclinical,
69-53-4,https://drugs.ncats.io/drug/7C782967RD,US Approved Rx 1993,ANDA062797,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=062797,US Previously Marketed 1963,POLYCILLIN by BRISTOL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050310,Bacterial Infections,Approved,
161814-49-9,https://drugs.ncats.io/drug/5S0W860XNR,US Approved Rx 2016,ANDA204060,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204060,US Previously Marketed 1999,AGENERASE by GLAXOSMITHKLINE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021039,HIV-1 infection,Approved,
60719-84-8,https://drugs.ncats.io/drug/JUT23379TN,US Approved Rx 2000,ANDA075513,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075513,US Previously Marketed 1984,INOCOR by SANOFI AVENTIS US,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018700,Congestive heart failure,Approved,
463-04-7,https://drugs.ncats.io/drug/H2HUX79FYK,US Previously Marketed 1880,Amyl Nitrite U.S.P.,https://books.google.com/books?id=WO5NAAAAMAAJ&newbks=1&newbks_redir=0&dq=united%20states%20pharmacopeia%201880&pg=PA14#v=onepage&q=amyl%20nitrite&f=false,US Previously Marketed 1880,Amyl Nitrite U.S.P.,https://books.google.com/books?id=WO5NAAAAMAAJ&newbks=1&newbks_redir=0&dq=united%20states%20pharmacopeia%201880&pg=PA14#v=onepage&q=amyl%20nitrite&f=false,,,
60-29-7,https://drugs.ncats.io/drug/0F5N573A2Y,US Previously Marketed 1921,Ether U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1846,ether,https://catalog.hathitrust.org/Record/100782317,,,
68475-42-3,https://drugs.ncats.io/drug/K9X45X0051,US Approved Rx 2017,ANDA209151,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=209151,US Approved Rx 1997,NDA020333,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=20333,,,
143090-92-0,https://drugs.ncats.io/drug/9013DUQ28K,US Approved Rx 2001,BLA103950,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103950,US Approved Rx 2001,BLA103950,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103950,,,
120511-73-1,https://drugs.ncats.io/drug/2Z07MYW1AZ,US Approved Rx 2010,ANDA090568,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090568,US Approved Rx 1995,NDA020541,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020541,Breast cancer,Approved,
1262449-58-0,https://drugs.ncats.io/drug/BI009E452R,Possibly Marketed Outside US ,WHO-ATC:V03AB38,https://ginas.ncats.nih.gov/ginas/app/substance/BI009E452R,Possibly Marketed Outside US 2018,BLA125586,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ae7f0c50-ff2d-49e5-8e10-4efa861556e6,,,
482-27-9,https://drugs.ncats.io/drug/20GCF755G6,,,,,,,Skin cancer,Basic research,
138402-11-6,https://drugs.ncats.io/drug/J0E2756Z7N,US Approved Rx 2012,ANDA077369,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077369,US Approved Rx 1997,NDA020758,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020758,Hypertension; Diabetic nephropathy,Approved; Approved,
138402-11-6,https://drugs.ncats.io/drug/J0E2756Z7N,US Approved Rx 2012,ANDA077369,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=077369,US Approved Rx 1997,NDA020758,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020758,Hypertension; Diabetic nephropathy,Approved; Approved,
166663-25-8,https://drugs.ncats.io/drug/9HLM53094I,US Approved Rx 2006,NDA021632,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021632,US Approved Rx 2006,NDA021632,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021632,Esophageal candidiasis; Candidemia,Approved; Approved,
117-37-3,https://drugs.ncats.io/drug/S747T1ERAJ,US Previously Marketed 1957,MIRADON by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010909,US Previously Marketed 1957,MIRADON by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010909,Pulmonary embolism; Coronary occlusion; Atrial fibrillation with embolization; Venous thrombosis,Approved; Approved; Approved; Approved,
471-34-1,https://drugs.ncats.io/drug/H0G9379FGK,US Approved OTC ,21 CFR 331.11(i)(2) antacid:calcium-containing calcium (mono or dibasic salt),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec331-11.xml,US Previously Marketed 1921,Precipitated Calcium Phosphate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Unknown; Hypocalcemia; Chronic obstructive pulmonary disease; Cystic fibrosis; Unknown; Hypocalcemia,Not Provided; Phase I; Phase I; Approved,
471-34-1,https://drugs.ncats.io/drug/H0G9379FGK,US Approved OTC ,21 CFR 331.11(i)(2) antacid:calcium-containing calcium (mono or dibasic salt),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec331-11.xml,US Previously Marketed 1921,Precipitated Calcium Phosphate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Unknown; Hypocalcemia; Chronic obstructive pulmonary disease; Cystic fibrosis; Unknown; Hypocalcemia,Not Provided; Phase I; Phase I; Approved,
91-75-8,https://drugs.ncats.io/drug/DHA8014SS1,US Previously Marketed 1990,VASOCON-A by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018746,US Previously Marketed 1948,Antistine Phosphate by Ciba,DeHaen 1940-1975 NMEs,Allergic conjunctivitis,Approved,
977007-26-3,https://drugs.ncats.io/drug/80VUN7L00C,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,US Approved Rx 2024,NDA216165,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=216165,,,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
69-72-7,https://drugs.ncats.io/drug/O414PZ4LPZ,US Approved OTC ,21 CFR 358.110(b) wart remover:collodoin-like vehicle salicylic acid,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec358-110.xml,US Previously Marketed 1860,sodium salicylate,https://catalog.hathitrust.org/Record/100782317,Psoriasis; Ichthyosis vulgaris; Keratosis palmaris; Bruises; Arthritis; Strains and sprains; Simple backache,Approved; Approved; Approved; Approved; Approved; Approved; Approved,
112-05-0,https://drugs.ncats.io/drug/97SEH7577T,US Previously Marketed 1960,Pellar by Crookes-Barnes (Cooper),DeHaen 1940-1975 NMEs,US Previously Marketed 1960,Pellar by Crookes-Barnes (Cooper),DeHaen 1940-1975 NMEs,Seizure; Unknown,Preclinical,
58-73-1,https://drugs.ncats.io/drug/8GTS82S83M,US Approved OTC ,21 CFR 336.10(c) antiemetic diphenhydramine hydrochloride,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec336-10.xml,US Previously Marketed 1946,BENADRYL by MCNEIL CONS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005845,Occasional sleeplessness; Seasonal allergic rhinitis,Approved; Approved,
7440-36-0,https://drugs.ncats.io/drug/9IT35J3UV3,US Previously Marketed 1921,Wine of Antimony N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Wine of Antimony N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,,
9000-94-6,https://drugs.ncats.io/drug/T0LTO7L82X,Possibly Marketed Outside US ,Thrombate III by Grifols Therapeutics Llc [Canada],https://www.drugbank.ca/drugs/DB11598,Possibly Marketed Outside US 1991,BLA103196,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b2a9f856-3ef7-8da4-920c-f738e4f1f7d7,,,
956104-40-8,https://drugs.ncats.io/drug/4T36H88UA7,US Approved Rx 2018,NDA210951,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210951,US Approved Rx 2018,NDA210951,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210951,Prostate cancer,Approved,
503612-47-3,https://drugs.ncats.io/drug/3Z9Y7UWC1J,US Approved Rx 2019,ANDA210171,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210171,US Approved Rx 2012,NDA202155,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202155,Embolism and thrombosis; Stroke,Approved; Approved,
58-00-4,https://drugs.ncats.io/drug/N21FAR7B4S,US Approved Rx 2022,ANDA212025,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=212025,US Previously Marketed 1880,apomorphia,https://catalog.hathitrust.org/Record/100782317,Parkinson's disease,Approved,
